Species range	Species	dispersal mechanism	Mean.dispersal.distance(m)	Maximum.dispersal.distance(m)	Growth.form	biomes	N-fixers	family	order	clade	Reference	Secondary Reference
introduced	Banksia ericifolia	anemochory	7.6	48	woody	woodland	No	Proteaceae	Proteales	BASAL EUDICOTS	"Honig M A, Cowling RM, Richardson DM. The invasive potential of Australian banksias in South African fynbos: A comparison of the reproductive potential of Banksia ericifolia and Leucadendron laureolum. Austral Ecology. 1992;17(3):305-314"	NA
introduced	Berberis darwinii	endozoochory	75.46	450	woody	temperateforest	No	Berberidaceae	Ranunculales	BASAL EUDICOTS	"McAlpine KG, Jesson LK. Linking seed dispersal, germination and seedling recruitment in the invasive species Berberis darwinii (Darwin’s barberry). Plant Ecology. 2008;197:119-129"	NA
introduced	Carduus acanthoides	anemochory	1.21	8	nonwoody	grassland	No	Asteraceae	Asterales	EUASTERIDS II	"Feldman SR, Lewis JP. Output and dispersal of propagules of Carduus acanthoides L. Weed Research. 1990;30:3:161-169"	NA
introduced	Carduus acanthoides	anemochory	1.795	16	nonwoody	grassland	No	Asteraceae	Asterales	EUASTERIDS II	"Skarpaas O, Shea K. Dispersal patterns, dispersal mechanisms, and invasion wave speeds for invasive thistles. The American Naturalist. 2007;170:3:421-30"	NA
introduced	Carduus nutans	anemochory	NA	19.5	nonwoody	grassland	No	Asteraceae	Asterales	EUASTERIDS II	"Lee, Janet M., and J. L. Hamrick. Demography of two natural populations of musk thistle (Carduus nutans). The Journal of Ecology.1983;: 923-936."	"Jongejans, Eelke, et al. Dispersal and demography contributions to population spread of Carduus nutans in its native and invaded ranges. Journal of Ecology. 2008;96:4 : 687-697"
introduced	Carduus nutans	anemochory	NA	36.3	nonwoody	grassland	No	Asteraceae	Asterales	EUASTERIDS II	"Jongejans, Eelke, et al. Dispersal and demography contributions to population spread of Carduus nutans in its native and invaded ranges. Journal of Ecology. 2008;96:4 : 687-697"	NA
introduced	Carduus nutans	anemochory	NA	33	nonwoody	grassland	No	Asteraceae	Asterales	EUASTERIDS II	"Jongejans, Eelke, et al. Dispersal and demography contributions to population spread of Carduus nutans in its native and invaded ranges. Journal of Ecology. 2008;96:4 : 687-697"	NA
introduced	Carduus nutans	anemochory	NA	37.5	nonwoody	grassland	No	Asteraceae	Asterales	EUASTERIDS II	"Sheppard, et al.  (1994) Predispersal seed predation on Carduus nutans (Asteraceae) in Southern Europe. Acta Oecologica, 15, 529–541"	"Jongejans, Eelke, et al. Dispersal and demography contributions to population spread of Carduus nutans in its native and invaded ranges. Journal of Ecology. 2008;96:4 : 687-697"
introduced	Carduus nutans	anemochory	1.96	96	nonwoody	grassland	No	Asteraceae	Asterales	EUASTERIDS II	"Skarpaas O, Shea K. Dispersal patterns, dispersal mechanisms, and invasion wave speeds for invasive thistles. The American naturalist. 2007;170(3):421-30"	NA
introduced	Carduus nutans	anemochory	14.7349	100	nonwoody	grassland	No	Asteraceae	Asterales	EUASTERIDS II	"Smith, Lane M., Kok LT. Dispersal of Musk Thistle (Carduus nutans) Seeds. Weed Science. 1984;32(1):120-125"	NA
introduced	Carpobrotus aff. acinaciformis	endozoochory	18.25	115	nonwoody	shrubland	No	Aizoaceae	Caryophyllales	CORE EUDICOTS	"Bourgeois K, Suehs CM, Vidal E, Médail F. Invasional meltdown potential: Facilitation between introduced plants and mammals on French Mediterranean islands. Ecoscience. 2005;12(2):248-256"	NA
introduced	Carpobrotus edulis	endozoochory	8.86	500	nonwoody	grassland	No	Aizoaceae	Caryophyllales	CORE EUDICOTS	"Bourgeois K, Suehs CM, Vidal E, Médail F. Invasional meltdown potential: Facilitation between introduced plants and mammals on French Mediterranean islands. Ecoscience. 2005;12(2):248-256"	NA
introduced	Carpobrotus edulis	endozoochory	NA	1000	nonwoody	grassland	No	Aizoaceae	Caryophyllales	CORE EUDICOTS	"D'Antonio C. Seed Production and Dispersal in the Non-Native, Invasive Succulent Carpobrotus edulis (Aizoaceae) in Coastal Strand Communities of Central California. Journal of Applied Ecology. 1990;27(2):693-702"	NA
introduced	Chaenorhinum minus	anemochory	0.084402913	0.22	nonwoody	grassland	No	Plantaginaceae	Lamiales	EUASTERIDS I	"Arnold, Robert M. Population dynamics and seed dispersal of Chaenorrhinum minus on railroad cinder ballast. American Midland Naturalist.1981;106:1: 80-91"	"Willson, M. F. Dispersal mode, seed shadows, and colonization patterns.Vegetatio. 1993;107:1 : 261-280"
introduced	Chromolaena odorata	anemochory	16.6086	64	nonwoody	tropicalforest	No	Asteraceae	Asterales	EUASTERIDS II	"Teegalapalli K, Hiremath AJ, Jathanna D. Patterns of seed rain and seedling regeneration in abandoned agricultural clearings in a seasonally dry tropical forest in India. Journal of Tropical Ecology. 2009;26(01):25"	NA
introduced	Cortaderia selloana	anemochory	12.22	40	nonwoody	other	No	Poaceae	Poales	COMMELINIDS	"Saura-Mas, S , Lloret F. Wind effects on dispersal patterns of the invasive alien Cortaderia selloana in Mediterranean wetlands. Acta Oecologica. 2005;27:129-133"	NA
introduced	Cynara cardunculus	anemochory	10.1	28	nonwoody	grassland	No	Asteraceae	Asterales	EUASTERIDS II	"Marushia RG, Holt JS. The Effects of Habitat on Dispersal Patterns of an Invasive Thistle, Cynara Cardunculus. Biological Invasions. 2006;8(4):577-594"	NA
introduced	Cytisus scoparius	ballochory	1	5	woody	temperateforest	Yes	Fabaceae	Fabales	EUROSIDS I	"Bossard CC. The Role of Habitat Disturbance, Seed Predation and Ant Dispersal on Establishment of the Exotic Shrub Cytisus scoparius in California. American Midland Naturalist. 1991;126(1):1"	NA
introduced	Cytisus scoparius	myrmecochory	1	5	woody	temperateforest	Yes	Fabaceae	Fabales	EUROSIDS I	"Bossard CC. The Role of Habitat Disturbance, Seed Predation and Ant Dispersal on Establishment of the Exotic Shrub Cytisus scoparius in California. American Midland Naturalist. 1991;126(1):2"	NA
introduced	Datura ferox	harvest	51.3	98	NA	NA	NA	NA	NA	NA	"Ballare CL, Scopel AL, Ghersa CM, Sanchez RA. The demography of Datura ferox (L.) in soybean crops. Weed Research. 1987;27(2):91-102"	NA
introduced	Dipsacus sylvestris	barochory	NA	1.5	woody	grassland	No	Dipsacaceae	Dipsacales	EUASTERIDS II	"Werner, P. A. A seed trap for determining patterns of seed deposition in terrestrial plants.Canadian Journal of Botany. 1975;53:8 : 810-813."	"Willson, M. F. Dispersal mode, seed shadows, and colonization patterns.Vegetatio. 1993;107:1 : 261-280"
introduced	Erodium botrys	ballochory	0.762	0.812995	nonwoody	grassland	No	Geraniaceae	Geraniales	EUROSIDS II	Stamp NE. Seed Dispersal of Four Sympatric Grassland Annual Species of Erodium. Journal of Ecology. 1989;77(4):1005-1020	NA
introduced	Erodium botrys	ballochory	0.081	0.101	nonwoody	grassland	No	Geraniaceae	Geraniales	EUROSIDS II	Stamp NE. Seed Dispersal of Four Sympatric Grassland Annual Species of Erodium. Journal of Ecology. 1989;77(4):1005-1024	NA
introduced	Erodium brachycarpum	ballochory	0.749	0.79177	nonwoody	grassland	No	Geraniaceae	Geraniales	EUROSIDS II	Stamp NE. Seed Dispersal of Four Sympatric Grassland Annual Species of Erodium. Journal of Ecology. 1989;77(4):1005-1021	NA
introduced	Erodium brachycarpum	hygroscopic	0.064	0.076	nonwoody	grassland	No	Geraniaceae	Geraniales	EUROSIDS II	Stamp NE. Seed Dispersal of Four Sympatric Grassland Annual Species of Erodium. Journal of Ecology. 1989;77(4):1005-1025	NA
introduced	Erodium moschatum	ballochory	0.556	0.857	nonwoody	grassland	No	Geraniaceae	Geraniales	EUROSIDS II	Stamp NE. Efficacy of Explosive vs. Hygroscopic Seed Dispersal by an Annual Grassland Species. American Journal of Botany. 1989;76(4):555-561	NA
introduced	Erodium moschatum	ballochory	0.542	0.58148	nonwoody	grassland	No	Geraniaceae	Geraniales	EUROSIDS II	Stamp NE. Seed Dispersal of Four Sympatric Grassland Annual Species of Erodium. Journal of Ecology. 1989;77(4):1005-1023	NA
introduced	Erodium moschatum	hygroscopic	0.07	0.269045	nonwoody	grassland	No	Geraniaceae	Geraniales	EUROSIDS II	Stamp NE. Efficacy of Explosive vs. Hygroscopic Seed Dispersal by an Annual Grassland Species. American Journal of Botany. 1989;76(4):555-561.	NA
introduced	Erodium moschatum	hygroscopic	0.078	0.089	nonwoody	grassland	No	Geraniaceae	Geraniales	EUROSIDS II	Stamp NE. Seed Dispersal of Four Sympatric Grassland Annual Species of Erodium. Journal of Ecology. 1989;77(4):1005-1027	NA
introduced	Erodyum cicutarium	ballochory	0.54	0.5729	nonwoody	grassland	No	Geraniaceae	Geraniales	EUROSIDS II	Stamp NE. Seed Dispersal of Four Sympatric Grassland Annual Species of Erodium. Journal of Ecology. 1989;77(4):1005-1022	NA
introduced	Erodyum cicutarium	ballochory	0.081	0.084	nonwoody	grassland	No	Geraniaceae	Geraniales	EUROSIDS II	Stamp NE. Seed Dispersal of Four Sympatric Grassland Annual Species of Erodium. Journal of Ecology. 1989;77(4):1005-1026	NA
introduced	Eschscholzia californica	harvest	4.225	139.3	NA	NA	NA	NA	NA	NA	"Heijting, S, Van Der Werf, W, Kropff M. Seed dispersal by forage harvester and rigid-tine cultivator in maize. Weed Research. 2009;49:153-167"	NA
introduced	Geophila repens	endozoochory	245	633	nonwoody	tropicalforest	No	Rubiaceae	Gentianales	EUASTERIDS I	"Yumoto, T.  Seed dispersal by Salvin's curassow, Mitu salvini (Cracidae), in a tropical forest of Colombia: Direct measurements of dispersal distance. Biotropica 1999;31: 654-660."	NA
introduced	Geranium molle	ballochory	1.785	2.8	nonwoody	woodland	No	Geraniaceae	Geraniales	EUROSIDS II	"Stamp, Nancy E., and Jeffrey R. Lucas. Ecological correlates of explosive seed dispersal.Oecologia. 1983;59:2-3 : 272-278"	NA
introduced	Geum rivale	epizoochory	NA	660	nonwoody	grassland	No	Rosaceae	Rosales	EUROSIDS I	"Kiviniemi, K. and Eriksson, O.  Dispersal, recruitment and site occupancy of grassland plants in fragmented habitats. Oikos.1999;86: 241-253."	NA
introduced	Geum rivale	epizoochory	NA	26	nonwoody	grassland	No	Rosaceae	Rosales	EUROSIDS I	"Kiviniemi, K. and Telenius, A. Experiments on adhesive dispersal by wood mouse: seed shadows and dispersal distances of 13 plant species from cultivated areas in southern Sweden. Ecography 1998;21: 108-116."	NA
introduced	Helianthus annus	hydrochory	338.85	5000	nonwoody	other	No	Asteraceae	Asterales	EUASTERIDS II	"Groves JH, Williams DG, Caley P, Norris RH, Caitcheon G. Modelling of floating seed dispersal in a fluvial environment. River Research and Applications. 2009;25:582-592"	NA
introduced	Heracleum mantegazzianum	anemochory	NA	10	nonwoody	grassland	No	Apiaceae	Apiales	EUASTERIDS II	"Tiley, GED, Felicite S. Dodd, and P. M. Wade. ""Heracleum mantegazzianum Sommier & Levier."" Journal of Ecology. 1996;84:2:297-319."	NA
introduced	Heterotheca latifolia	anemochory	8.02	30	nonwoody	other	No	Asteraceae	Asterales	EUASTERIDS II	"Plummer, Gayther L., Keever C. Autumnal Daylight Weather and Camphor-Weed Dispersal in the Georgia Piedmont Region. Botanical Gazette. 1963;124:4:283-289"	NA
introduced	Hieracium aurantiacum	anemochory	3.5	20	nonwoody	grassland	No	Asteraceae	Asterales	EUASTERIDS II	"Stergios BG. Achene production, dispersal, seed germination, and seedling establishment of Hieracium aurantiacum in an abandoned field community. Canadian Journal of Botany. 1976;54:11:1189-1197"	NA
introduced	Impatiens glandulifera	ballochory	1.5618	5	nonwoody	woodland	No	Balsaminaceae	Ericales	BASAL ASTERIDS	"Beerling DJ, Perrins JM, Perrinst M. Impatiens glandulifera Royle ( Impatiens roylei Walp .). Society. 2011;81:2:367-382"	NA
introduced	Lepidium campestre	ballochory	0.905506678	2	nonwoody	grassland	No	Brassicaceae	Brassicales	EUROSIDS II	"Thiede, D. A. and Augspurger, C. K. Intraspecific variation in seed dispersion of Lepidium campestre (Brassicaceae). - American Journal of Botany.1996;83: 856-866."	NA
introduced	Linaria maroccana	harvest	11.725	143.8	NA	NA	NA	NA	NA	NA	"Heijting, S, Van Der Werf, W, Kropff M. Seed dispersal by forage harvester and rigid-tine cultivator in maize. Weed Research. 2009;49:153-168"	NA
introduced	Linaria vulgaris	anemochory	0.5	1.5	nonwoody	other	No	Plantaginaceae	Lamiales	EUASTERIDS I	"Nadeau LB, King JR. Seed dispersal and seedling establishment of Linaria vulgaris Mill . Canadian Journal of Plant Sciences. 1991;782:771-782."	NA
introduced	Microstegium vimineum	anemochory	NA	NA	nonwoody	temperateforest	No	Poaceae	Poales	COMMELINIDS	Huebner CD. Spread of an invasive grass in closed-canopy deciduous forests across local and regional environmental gradients. Biological Invasions. 2009;12:7:2081-2089	NA
introduced	Mimosa pigra	anemochory	93.83333	2062	woody	woodland	Yes	Fabaceae	Fabales	EUROSIDS I	Lonsdale WM. Rates of Spread of an Invading Species--Mimosa Pigra in Northern Australia. Journal of Ecology. 1993;81:3:513-521	NA
introduced	Panicum miliaceum	barochory	0.5	3	nonwoody	grassland	No	Poaceae	Poales	COMMELINIDS	"McCanny, Stephen J., and Paul B. Cavers. Parental effects on spatial patterns of plants: a contingency table approach. Ecology.1989;70:2 368-378."	"Cain, Michael L., Hans Damman, and Angela Muir. ""Seed dispersal and the Holocene migration of woodland herbs."" Ecological monograph. 1998;68:3 325-347"
introduced	Panicum miliaceum	harvest	12.99	50	nonwoody	grassland	No	Poaceae	Poales	COMMELINIDS	"Mccanny SJ, Cavers PB. Spread of proso millet (Panicum miliaceum L.) in Ontario, Canada. II. Dispersal by combines. Weed Research. 1988;28:2:67-72"	NA
introduced	Panicum miliaceum	harvest	21.88	50	nonwoody	grassland	No	Poaceae	Poales	COMMELINIDS	"Mccanny SJ, Cavers PB. Spread of proso millet (Panicum miliaceum L.) in Ontario, Canada. II. Dispersal by combines. Weed Research. 1988;28:2:67-73"	NA
introduced	Panicum miliaceum	harvest	0.4795	1.8	nonwoody	grassland	No	Poaceae	Poales	COMMELINIDS	"O'Toole JJ, Cavers PB. Input to seed banks of Proso millet (Panicum miliaceum) in Southern Ontario. Canadian Journal of Plant Sciences. 1983;63:1023-1030"	NA
introduced	Phacelia tanacetifolia	harvest	5.225	74.8	NA	NA	NA	NA	NA	NA	"Heijting, S, Van Der Werf, W, Kropff M. Seed dispersal by forage harvester and rigid-tine cultivator in maize. Weed Research. 2009;49:153-163"	NA
introduced	Prunus serotina	barochory	2.5	11.3	woody	temperateforest	No	Rosaceae	Rosales	EUROSIDS I	"Pairon M, Jonard M, Jacquemart A-L. Modeling seed dispersal of black cherry, an invasive forest tree: how microsatellites may help? Canadian Journal of Forest Research. 2006;36:6:1385-1394"	NA
introduced	Prunus serotina	endozoochory	10.8	44.8	woody	temperateforest	No	Rosaceae	Rosales	EUROSIDS I	"Pairon M, Jonard M, Jacquemart A-L. Modeling seed dispersal of black cherry, an invasive forest tree: how microsatellites may help? Canadian Journal of Forest Research. 2006;36:6:1385-1394"	NA
introduced	Rhododendron ponticum	anemochory	4.729098	100	woody	woodland	No	Ericaceae	Ericales	BASAL ASTERIDS	"Stephenson C, Kohn D, Park K, et al. Testing mechanistic models of seed dispersal for the invasive Rhododendron ponticum (L.). Perspectives in Plant Ecology, Evolution and Systematics. 2007;9:1:15-28."	NA
introduced	Salsola australis (tragus)	tumbleweed	157.87	1247	woody	grassland	No	Amaranthaceae	Caryophyllales	CORE EUDICOTS	"Borger, C P D, Walsh, M, Scott, JK, Powles S. Tumbleweeds in the Western Australian cropping system: seed dispersal characteristics of Salsola australis. Weed Research. 2007;32:5:390-414."	NA
introduced	Salsola iberica	tumbleweed	1905.5	4069	nonwoody	grassland	No	Amaranthaceae	Caryophyllales	CORE EUDICOTS	"Stallings GP, Thill DC, Mallory-Smith CA, Lass LW. Plant Movement and Seed Dispersal of Russian Thistle (Salsola iberica). Weed Science. 1995;43:1:63-69"	NA
introduced	Senecio inaequidensis	anemochory	5.2	100	nonwoody	other	No	Asteraceae	Asterales	EUASTERIDS II	"Monty, Arnaud M, Stainer, Charles, Lebeau, Frederic, Pieret, Nora, Mahy G. SEED RAIN PATTERN OF THE INVASIVE WEED SENECIO INAEQUIDENS ( ASTERACEAE ). Belgian Journal of Botany. 2008;141:1:51-63"	NA
introduced	Senecio jacobaea	anemochory	3.03	14	nonwoody	grassland	No	Asteraceae	Asterales	EUASTERIDS II	"McEvoy PB, Cox CS. Wind Dispersal Distances in Dimorphic Achenes of Ragwort , Senecio Jacobaea. Ecology. 1987;68:6:2006-2015"	NA
introduced	Senecio vulgaris	anemochory	0.3423	2	nonwoody	grassland	No	Asteraceae	Asterales	EUASTERIDS II	"Bergelson, Joy, Newman, Jonathan A, Floresroux EM. Rates of Weed Spread in Spatially Heterogeneous Environments. Ecology. 1993;74:4:999-1011"	NA
introduced	Sinapis alba	harvest	6.4	80.8	NA	NA	NA	NA	NA	NA	"Heijting, S, Van Der Werf, W, Kropff M. Seed dispersal by forage harvester and rigid-tine cultivator in maize. Weed Research. 2009;49:153-164"	NA
introduced	Sorgum halepense	anemochory	0.2964	2	nonwoody	other	No	Poaceae	Poales	COMMELINIDS	"Ghersa CM, Martinez-Ghersa MA, Satorre EH, Van Esso ML, Chichotky G. Seed dispersal, distribution and recruitment of seedlings of Sorghum halepense (L.) Pers. Weed Research. 1993;33:1:79-88"	NA
introduced	Sorgum halepense	harvest	22.73	50	nonwoody	other	No	Poaceae	Poales	COMMELINIDS	"Ghersa CM, Martinez-Ghersa MA, Satorre EH, Van Esso ML, Chichotky G. Seed dispersal, distribution and recruitment of seedlings of Sorghum halepense (L.) Pers. Weed Research. 1993;33:1:79-88"	NA
introduced	Taeniatherum caput-medusae	anemochory	NA	2	nonwoody	grassland	No	Poaceae	Poales	COMMELINIDS	Davies KW. Medusahead Dispersal and Establishment in Sagebrush Steppe Plant Communities. Rangeland Ecology & Management. 2008;61:1:110-115	NA
introduced	Tamarindus indica	endozoochory	1522.25	5087.75	woody	tropicalforest	Yes	Fabaceae	Fabales	EUROSIDS I	"Campos-Arceiz, A., Larrinaga, A. R., Weerasinghe, U. R., Takatsuki, S., Pastorini, J., Leimgruber, P., Fernando, P. and Santamaria, L. BEHAVIOR RATHER THAN DIET MEDIATES SEASONAL DIFFERENCES IN SEED DISPERSAL BY ASIAN ELEPHANTS. Ecology. 2008;89: 2684-2691"	NA
introduced	Triglochin palustre	epizoochory	NA	3	nonwoody	grassland	No	Juncaginaceae	Alismatales	MONOCOTS	"Kiviniemi, K. and Telenius, A. Experiments on adhesive dispersal by wood mouse: seed shadows and dispersal distances of 13 plant species from cultivated areas in southern Sweden. Ecography. 1998; 21: 108-116."	NA
introduced	Ulex europaeus	anemochory	87.22	2.8	woody	other	Yes	Fabaceae	Fabales	EUROSIDS I	"Norambuena, Hernan, Piper GL. Impact of Apion ulicis Forster on Ulex europaeus L. Seed Dispersal. Biological Control. 2000;17(3):267-271"	NA
introduced	Veronica arvensis	hydrochory	0.145711403	NA	nonwoody	other	No	Plantaginaceae	Lamiales	EUASTERIDS I	"Nakanishi, H. Splash seed dispersal by raindrops. Ecological Research 2002;17: 663-671."	NA
introduced	Vicia sativa ssp. nigra	ballochory	3.4	9	nonwoody	other	Yes	Fabaceae	Fabales	EUROSIDS I	"Garrison, W. J., Miller, G. L. and Raspet, R. Ballistic seed projection in two herbaceous species. - American Journal of Botany. 2000;87: 1257-1264."	NA
introduced	Vincetoxicum rossicum	anemochory	3.419159669	18	woody	other	No	Apocynaceae	Gentianales	EUASTERIDS I	"Cappuccino N, Mackay R, Eisner C. Spread of the Invasive Alien Vine Vincetoxicum rossicum : Tradeoffs Between Seed Dispersability and Seed Quality. American Midlland Naturalist. 2002;148:2:263-270."	NA
introduced	Vincetoxicum rossicum	anemochory	29.49	60	woody	other	No	Apocynaceae	Gentianales	EUASTERIDS I	"Ladd D, Cappuccino N. A field study of seed dispersal and seedling performance in the invasive exotic vine Vincetoxicum rossicum. Canadian Journal of Botany. 2005;83:9:1181-1188"	NA
introduced	Ziziphus mauritiana	barochory	NA	2	woody	woodland	No	Rhamnaceae	Rosales	EUROSIDS I	"Grice AC. Seed production, dispersal and germination in Cryptostegia grandiflora and Ziziphus mauritiana, two invasive shrubs in tropical woodlands of northern Australia. Austral Journal of Ecology. 1996;21:3: 324-331"	NA
