"GenusSpecies","DispersalDistance","DispersalDistance_Unit","DispersalDistance_ObservationType","DispersalDistance_MeasurementType","DispersalDistance_Database","DispersalFrequency","DispersalFrequency_Unit","DispersalFrequency_MeasurementType","DispersalFrequency_Database","MaxDispersalDistanceKm","MaxDispersalDistance_Database","MedianDispersalDistanceKm","NObs_MedianDispersalDistanceKm","DispersalFrequencyY","PotentialDispersalRateKmY"
"Accipiter cooperii",35.2,"km","natal dispersal","MaxDispersalDistance","Sutherland (birds)",730,"days","AgeAtMaturity","AnAge",57.71831312,"Chu 2021",35.2,5,2,28.85915656
"Accipiter cooperii",35200,"m","natal/breeding dispersal","MaxDispersalDistance","Jenkins et al. 2007",730,"days","AgeAtMaturity","AnAge",57.71831312,"Chu 2021",35.2,5,2,28.85915656
"Accipiter cooperii",17.81284581,"km","natal dispersal","MeanDispersalDistance","Chu 2021",730,"days","AgeAtMaturity","AnAge",57.71831312,"Chu 2021",35.2,5,2,28.85915656
"Accipiter cooperii",57.71831312,"km","natal dispersal","MeanDispersalDistance","Chu 2021",730,"days","AgeAtMaturity","AnAge",57.71831312,"Chu 2021",35.2,5,2,28.85915656
"Accipiter gentilis",32,"km","natal dispersal","MedianDispersalDistance","Sutherland (birds)",365,"days","AgeAtMaturity","AnAge",1150,"Sutherland (birds)",35.30395999,7,1,1150
"Accipiter gentilis",1150,"km","natal dispersal","MaxDispersalDistance","Sutherland (birds)",365,"days","AgeAtMaturity","AnAge",1150,"Sutherland (birds)",35.30395999,7,1,1150
"Accipiter gentilis",1150000,"m","natal/breeding dispersal","MaxDispersalDistance","Jenkins et al. 2007",365,"days","AgeAtMaturity","AnAge",1150,"Sutherland (birds)",35.30395999,7,1,1150
"Accipiter gentilis",41.4,"km","natal dispersal","MeanDispersalDistance","Paradis et al. 2002",365,"days","AgeAtMaturity","AnAge",1150,"Sutherland (birds)",35.30395999,7,1,1150
"Accipiter gentilis",18.839,"km","natal dispersal","MeanDispersalDistance","Paradis et al. 2002",365,"days","AgeAtMaturity","AnAge",1150,"Sutherland (birds)",35.30395999,7,1,1150
"Accipiter gentilis",22.02593711,"km","natal dispersal","MeanDispersalDistance","Chu 2021",365,"days","AgeAtMaturity","AnAge",1150,"Sutherland (birds)",35.30395999,7,1,1150
"Accipiter gentilis",35.30395999,"km","natal dispersal","MeanDispersalDistance","Chu 2021",365,"days","AgeAtMaturity","AnAge",1150,"Sutherland (birds)",35.30395999,7,1,1150
"Accipiter nisus",9,"km","natal dispersal","MedianDispersalDistance","Sutherland (birds)",365,"days","AgeAtMaturity","AnAge",166,"Jenkins et al. 2007",15.6,7,1,166
"Accipiter nisus",108,"km","natal dispersal","MaxDispersalDistance","Sutherland (birds)",365,"days","AgeAtMaturity","AnAge",166,"Jenkins et al. 2007",15.6,7,1,166
"Accipiter nisus",166000,"m","natal/breeding dispersal","MaxDispersalDistance","Jenkins et al. 2007",365,"days","AgeAtMaturity","AnAge",166,"Jenkins et al. 2007",15.6,7,1,166
"Accipiter nisus",17.3,"km","breeding dispersal","MeanDispersalDistance","Paradis et al. 2002",365,"days","AgeAtMaturity","AnAge",166,"Jenkins et al. 2007",15.6,7,1,166
"Accipiter nisus",15.6,"km","natal dispersal","MeanDispersalDistance","Paradis et al. 2002",365,"days","AgeAtMaturity","AnAge",166,"Jenkins et al. 2007",15.6,7,1,166
"Accipiter nisus",2.22,"km","breeding dispersal","MeanDispersalDistance","Paradis et al. 2002",365,"days","AgeAtMaturity","AnAge",166,"Jenkins et al. 2007",15.6,7,1,166
"Accipiter nisus",6.654,"km","natal dispersal","MeanDispersalDistance","Paradis et al. 2002",365,"days","AgeAtMaturity","AnAge",166,"Jenkins et al. 2007",15.6,7,1,166
"Acer negundo",41.1,"m","seed dispersal","MaxDispersalDistance","Tamme et al. 2014",5,"yrs","AgeAtMaturity","TRY",1.2,"Flores et al. 2013",0.3460171042,4,5,0.24
"Acer negundo",151,"m","seed dispersal","MaxDispersalDistance","Jenkins et al. 2007",5,"yrs","AgeAtMaturity","TRY",1.2,"Flores et al. 2013",0.3460171042,4,5,0.24
"Acer negundo",541.0342084,"m","seed dispersal","MeanDispersalDistance","Flores et al. 2013",5,"yrs","AgeAtMaturity","TRY",1.2,"Flores et al. 2013",0.3460171042,4,5,0.24
"Acer negundo",1200,"m","seed dispersal","MaxDispersalDistance","Flores et al. 2013",5,"yrs","AgeAtMaturity","TRY",1.2,"Flores et al. 2013",0.3460171042,4,5,0.24
"Acer pensylvanicum",10,"m","seed dispersal","MeanDispersalDistance","TRY database",10,"yrs","AgeAtMaturity","TRY",0.06,"TRY database",0.035,2,10,0.006
"Acer pensylvanicum",60,"m","seed dispersal","MaxDispersalDistance","TRY database",10,"yrs","AgeAtMaturity","TRY",0.06,"TRY database",0.035,2,10,0.006
"Acer platanoides",83,"m","seed dispersal","MeanDispersalDistance","Tamme et al. 2014",7,"yrs","AgeAtMaturity","TRY",0.083,"Tamme et al. 2014",0.05015,4,7,0.0118571428571429
"Acer platanoides",50.3,"m","seed dispersal","MaxDispersalDistance","Jenkins et al. 2007",7,"yrs","AgeAtMaturity","TRY",0.083,"Tamme et al. 2014",0.05015,4,7,0.0118571428571429
"Acer platanoides",5.5,"m","seed dispersal","MeanDispersalDistance","Flores et al. 2013",7,"yrs","AgeAtMaturity","TRY",0.083,"Tamme et al. 2014",0.05015,4,7,0.0118571428571429
"Acer platanoides",50,"m","seed dispersal","MaxDispersalDistance","Flores et al. 2013",7,"yrs","AgeAtMaturity","TRY",0.083,"Tamme et al. 2014",0.05015,4,7,0.0118571428571429
"Acer pseudoplatanus",5000,"m","seed dispersal","MaxDispersalDistance","Tamme et al. 2014",5,"yrs","AgeAtMaturity","TRY",5,"Tamme et al. 2014",2.75,4,5,1
"Acer pseudoplatanus",60.1,"m","seed dispersal","MaxDispersalDistance","Jenkins et al. 2007",5,"yrs","AgeAtMaturity","TRY",5,"Tamme et al. 2014",2.75,4,5,1
"Acer pseudoplatanus",5000,"m","seed dispersal","MaxDispersalDistance","Vittoz & Engler 2007",5,"yrs","AgeAtMaturity","TRY",5,"Tamme et al. 2014",2.75,4,5,1
"Acer pseudoplatanus",500,"m","seed dispersal","MaxDispersalDistance","Vittoz & Engler 2007",5,"yrs","AgeAtMaturity","TRY",5,"Tamme et al. 2014",2.75,4,5,1
"Acer rubrum",11371,"m","seed dispersal","MaxDispersalDistance","Tamme et al. 2014",10,"yrs","AgeAtMaturity","TRY",11.371,"Tamme et al. 2014",0.3143,7,10,1.1371
"Acer rubrum",83.3,"m","seed dispersal","MedianDispersalDistance","Tamme et al. 2014",10,"yrs","AgeAtMaturity","TRY",11.371,"Tamme et al. 2014",0.3143,7,10,1.1371
"Acer rubrum",314.3,"m","seed dispersal","99thPercentileDispersalDistance","Tamme et al. 2014",10,"yrs","AgeAtMaturity","TRY",11.371,"Tamme et al. 2014",0.3143,7,10,1.1371
"Acer rubrum",475,"m","seed dispersal","MaxDispersalDistance","Jenkins et al. 2007",10,"yrs","AgeAtMaturity","TRY",11.371,"Tamme et al. 2014",0.3143,7,10,1.1371
"Acer rubrum",83,"m","seed dispersal","MedianDispersalDistance","Vittoz & Engler 2007",10,"yrs","AgeAtMaturity","TRY",11.371,"Tamme et al. 2014",0.3143,7,10,1.1371
"Acer rubrum",314,"m","seed dispersal","99thPercentileDispersalDistance","Vittoz & Engler 2007",10,"yrs","AgeAtMaturity","TRY",11.371,"Tamme et al. 2014",0.3143,7,10,1.1371
"Acer rubrum",11371,"m","seed dispersal","MaxDispersalDistance","Vittoz & Engler 2007",10,"yrs","AgeAtMaturity","TRY",11.371,"Tamme et al. 2014",0.3143,7,10,1.1371
"Acer saccharinum",100,"m","seed dispersal","MaxDispersalDistance","Jenkins et al. 2007",20.5,"yrs","AgeAtMaturity","TRY",0.1,"Jenkins et al. 2007",0.1,1,21,0.00476190476190476
"Acer saccharum",150,"m","seed dispersal","MaxDispersalDistance","Tamme et al. 2014",22,"yrs","AgeAtMaturity","TRY",0.151,"Jenkins et al. 2007",0.15,3,22,0.00686363636363636
"Acer saccharum",151,"m","seed dispersal","MaxDispersalDistance","Jenkins et al. 2007",22,"yrs","AgeAtMaturity","TRY",0.151,"Jenkins et al. 2007",0.15,3,22,0.00686363636363636
"Acer saccharum",100,"m","seed dispersal","MeanDispersalDistance","TRY database",22,"yrs","AgeAtMaturity","TRY",0.151,"Jenkins et al. 2007",0.15,3,22,0.00686363636363636
"Achillea millefolium",0.07,"m","seed dispersal","MedianDispersalDistance","Tamme et al. 2014",1,"yrs","AgeAtMaturity","TRY",0.00039,"Tamme et al. 2014",0.00023,4,1,0.00039
"Achillea millefolium",0.39,"m","seed dispersal","99thPercentileDispersalDistance","Tamme et al. 2014",1,"yrs","AgeAtMaturity","TRY",0.00039,"Tamme et al. 2014",0.00023,4,1,0.00039
"Achillea millefolium",0.07,"m","seed dispersal","MedianDispersalDistance","Vittoz & Engler 2007",1,"yrs","AgeAtMaturity","TRY",0.00039,"Tamme et al. 2014",0.00023,4,1,0.00039
"Achillea millefolium",0.39,"m","seed dispersal","99thPercentileDispersalDistance","Vittoz & Engler 2007",1,"yrs","AgeAtMaturity","TRY",0.00039,"Tamme et al. 2014",0.00023,4,1,0.00039
"Achillea ptarmica",0.11,"m","seed dispersal","MedianDispersalDistance","Tamme et al. 2014",1,"yrs","AgeAtMaturity","TRY",0.00068,"Tamme et al. 2014",0.000395,2,1,0.00068
"Achillea ptarmica",0.68,"m","seed dispersal","99thPercentileDispersalDistance","Tamme et al. 2014",1,"yrs","AgeAtMaturity","TRY",0.00068,"Tamme et al. 2014",0.000395,2,1,0.00068
"Acrocephalus schoenobaenus",156000,"m","natal/breeding dispersal","MaxDispersalDistance","Jenkins et al. 2007",364.234,"days","AgeAtMaturity","Amniota",156,"Jenkins et al. 2007",30.6,5,1,156
"Acrocephalus schoenobaenus",30.6,"km","breeding dispersal","MeanDispersalDistance","Paradis et al. 2002",364.234,"days","AgeAtMaturity","Amniota",156,"Jenkins et al. 2007",30.6,5,1,156
"Acrocephalus schoenobaenus",40.4,"km","natal dispersal","MeanDispersalDistance","Paradis et al. 2002",364.234,"days","AgeAtMaturity","Amniota",156,"Jenkins et al. 2007",30.6,5,1,156
"Acrocephalus schoenobaenus",1.097,"km","breeding dispersal","MeanDispersalDistance","Paradis et al. 2002",364.234,"days","AgeAtMaturity","Amniota",156,"Jenkins et al. 2007",30.6,5,1,156
"Acrocephalus schoenobaenus",6.02,"km","natal dispersal","MeanDispersalDistance","Paradis et al. 2002",364.234,"days","AgeAtMaturity","Amniota",156,"Jenkins et al. 2007",30.6,5,1,156
"Acrocephalus scirpaceus",271000,"m","natal/breeding dispersal","MaxDispersalDistance","Jenkins et al. 2007",364.234,"days","AgeAtMaturity","Amniota",271,"Jenkins et al. 2007",32.4,5,1,271
"Acrocephalus scirpaceus",32.4,"km","breeding dispersal","MeanDispersalDistance","Paradis et al. 2002",364.234,"days","AgeAtMaturity","Amniota",271,"Jenkins et al. 2007",32.4,5,1,271
"Acrocephalus scirpaceus",47,"km","natal dispersal","MeanDispersalDistance","Paradis et al. 2002",364.234,"days","AgeAtMaturity","Amniota",271,"Jenkins et al. 2007",32.4,5,1,271
"Acrocephalus scirpaceus",2.935,"km","breeding dispersal","MeanDispersalDistance","Paradis et al. 2002",364.234,"days","AgeAtMaturity","Amniota",271,"Jenkins et al. 2007",32.4,5,1,271
"Acrocephalus scirpaceus",5.215,"km","natal dispersal","MeanDispersalDistance","Paradis et al. 2002",364.234,"days","AgeAtMaturity","Amniota",271,"Jenkins et al. 2007",32.4,5,1,271
"Actitis macularius",146.7,"km","natal dispersal","MaxDispersalDistance","Sutherland (birds)",365,"days","AgeAtMaturity","AnAge",147,"Jenkins et al. 2007",146.85,2,1,147
"Actitis macularius",147000,"m","natal/breeding dispersal","MaxDispersalDistance","Jenkins et al. 2007",365,"days","AgeAtMaturity","AnAge",147,"Jenkins et al. 2007",146.85,2,1,147
"Aegilops triuncialis",0.4,"m","seed dispersal","MeanDispersalDistance","Flores et al. 2013",1,"yrs","AgeAtMaturity","TRY",0.00216,"Flores et al. 2013",0.00128,2,1,0.00216
"Aegilops triuncialis",2.16,"m","seed dispersal","MaxDispersalDistance","Flores et al. 2013",1,"yrs","AgeAtMaturity","TRY",0.00216,"Flores et al. 2013",0.00128,2,1,0.00216
"Aegithalos caudatus",24900,"m","natal/breeding dispersal","MaxDispersalDistance","Jenkins et al. 2007",365,"days","AgeAtMaturity","AnAge",24.9,"Jenkins et al. 2007",3.7,5,1,24.9
"Aegithalos caudatus",3.7,"km","breeding dispersal","MeanDispersalDistance","Paradis et al. 2002",365,"days","AgeAtMaturity","AnAge",24.9,"Jenkins et al. 2007",3.7,5,1,24.9
"Aegithalos caudatus",8.3,"km","natal dispersal","MeanDispersalDistance","Paradis et al. 2002",365,"days","AgeAtMaturity","AnAge",24.9,"Jenkins et al. 2007",3.7,5,1,24.9
"Aegithalos caudatus",0.695,"km","breeding dispersal","MeanDispersalDistance","Paradis et al. 2002",365,"days","AgeAtMaturity","AnAge",24.9,"Jenkins et al. 2007",3.7,5,1,24.9
"Aegithalos caudatus",2.176,"km","natal dispersal","MeanDispersalDistance","Paradis et al. 2002",365,"days","AgeAtMaturity","AnAge",24.9,"Jenkins et al. 2007",3.7,5,1,24.9
"Aegolius funereus",12.8,"km","natal dispersal","MedianDispersalDistance","Sutherland (birds)",364.234,"days","AgeAtMaturity","Amniota",300,"Jenkins et al. 2007",67.5,3,1,300
"Aegolius funereus",67.5,"km","natal dispersal","MaxDispersalDistance","Sutherland (birds)",364.234,"days","AgeAtMaturity","Amniota",300,"Jenkins et al. 2007",67.5,3,1,300
"Aegolius funereus",3e+05,"m","natal/breeding dispersal","MaxDispersalDistance","Jenkins et al. 2007",364.234,"days","AgeAtMaturity","Amniota",300,"Jenkins et al. 2007",67.5,3,1,300
"Aegopodium podagraria",1,"m","seed dispersal","MaxDispersalDistance","Tamme et al. 2014",1,"yrs","AgeAtMaturity","TRY",0.001,"Tamme et al. 2014",0.00079,2,1,0.001
"Aegopodium podagraria",0.58,"m","seed dispersal","MedianDispersalDistance","Tamme et al. 2014",1,"yrs","AgeAtMaturity","TRY",0.001,"Tamme et al. 2014",0.00079,2,1,0.001
"Aethusa cynapium",2,"m","seed dispersal","MaxDispersalDistance","Tamme et al. 2014",1,"yrs","AgeAtMaturity","TRY",0.002,"Tamme et al. 2014",0.00136,2,1,0.002
"Aethusa cynapium",0.72,"m","seed dispersal","MedianDispersalDistance","Tamme et al. 2014",1,"yrs","AgeAtMaturity","TRY",0.002,"Tamme et al. 2014",0.00136,2,1,0.002
"Agrimonia eupatoria",932,"m","seed dispersal","MaxDispersalDistance","Tamme et al. 2014",1,"yrs","AgeAtMaturity","TRY",0.932,"Tamme et al. 2014",0.856,4,1,0.932
"Agrimonia eupatoria",11,"m","seed dispersal","MaxDispersalDistance","Vittoz & Engler 2007",1,"yrs","AgeAtMaturity","TRY",0.932,"Tamme et al. 2014",0.856,4,1,0.932
"Agrimonia eupatoria",932,"m","seed dispersal","MaxDispersalDistance","Vittoz & Engler 2007",1,"yrs","AgeAtMaturity","TRY",0.932,"Tamme et al. 2014",0.856,4,1,0.932
"Agrimonia eupatoria",780,"m","seed dispersal","MaxDispersalDistance","Vittoz & Engler 2007",1,"yrs","AgeAtMaturity","TRY",0.932,"Tamme et al. 2014",0.856,4,1,0.932
"Aix sponsa",3.8,"km","natal dispersal","MaxDispersalDistance","Sutherland (birds)",365,"days","AgeAtMaturity","AnAge",9.102877271,"Chu 2021",4.089744502,4,1,9.102877271
"Aix sponsa",3800,"m","natal/breeding dispersal","MaxDispersalDistance","Jenkins et al. 2007",365,"days","AgeAtMaturity","AnAge",9.102877271,"Chu 2021",4.089744502,4,1,9.102877271
"Aix sponsa",4.379489004,"km","natal dispersal","MeanDispersalDistance","Chu 2021",365,"days","AgeAtMaturity","AnAge",9.102877271,"Chu 2021",4.089744502,4,1,9.102877271
"Aix sponsa",9.102877271,"km","natal dispersal","MeanDispersalDistance","Chu 2021",365,"days","AgeAtMaturity","AnAge",9.102877271,"Chu 2021",4.089744502,4,1,9.102877271
"Alauda arvensis",51700,"m","natal/breeding dispersal","MaxDispersalDistance","Jenkins et al. 2007",364.234,"days","AgeAtMaturity","Amniota",51.7,"Jenkins et al. 2007",0.7,5,1,51.7
"Alauda arvensis",0.7,"km","breeding dispersal","MeanDispersalDistance","Paradis et al. 2002",364.234,"days","AgeAtMaturity","Amniota",51.7,"Jenkins et al. 2007",0.7,5,1,51.7
"Alauda arvensis",5.5,"km","natal dispersal","MeanDispersalDistance","Paradis et al. 2002",364.234,"days","AgeAtMaturity","Amniota",51.7,"Jenkins et al. 2007",0.7,5,1,51.7
"Alauda arvensis",0.167,"km","breeding dispersal","MeanDispersalDistance","Paradis et al. 2002",364.234,"days","AgeAtMaturity","Amniota",51.7,"Jenkins et al. 2007",0.7,5,1,51.7
"Alauda arvensis",0.302,"km","natal dispersal","MeanDispersalDistance","Paradis et al. 2002",364.234,"days","AgeAtMaturity","Amniota",51.7,"Jenkins et al. 2007",0.7,5,1,51.7
"Alca torda",477.4643143,"km","natal dispersal","MeanDispersalDistance","Chu 2021",1456.936,"days","AgeAtMaturity","Amniota",485.3897347,"Chu 2021",481.4270245,2,4,121.347433675
"Alca torda",485.3897347,"km","natal dispersal","MeanDispersalDistance","Chu 2021",1456.936,"days","AgeAtMaturity","Amniota",485.3897347,"Chu 2021",481.4270245,2,4,121.347433675
"Alcedo atthis",101000,"m","natal/breeding dispersal","MaxDispersalDistance","Jenkins et al. 2007",365,"days","AgeAtMaturity","AnAge",101,"Jenkins et al. 2007",9.5,5,1,101
"Alcedo atthis",9.5,"km","breeding dispersal","MeanDispersalDistance","Paradis et al. 2002",365,"days","AgeAtMaturity","AnAge",101,"Jenkins et al. 2007",9.5,5,1,101
"Alcedo atthis",21.5,"km","natal dispersal","MeanDispersalDistance","Paradis et al. 2002",365,"days","AgeAtMaturity","AnAge",101,"Jenkins et al. 2007",9.5,5,1,101
"Alcedo atthis",3.753,"km","breeding dispersal","MeanDispersalDistance","Paradis et al. 2002",365,"days","AgeAtMaturity","AnAge",101,"Jenkins et al. 2007",9.5,5,1,101
"Alcedo atthis",3.175,"km","natal dispersal","MeanDispersalDistance","Paradis et al. 2002",365,"days","AgeAtMaturity","AnAge",101,"Jenkins et al. 2007",9.5,5,1,101
"Allium oleraceum",0.06,"m","seed dispersal","MedianDispersalDistance","Tamme et al. 2014",1,"yrs","AgeAtMaturity","TRY",0.00028,"Tamme et al. 2014",0.00017,2,1,0.00028
"Allium oleraceum",0.28,"m","seed dispersal","99thPercentileDispersalDistance","Tamme et al. 2014",1,"yrs","AgeAtMaturity","TRY",0.00028,"Tamme et al. 2014",0.00017,2,1,0.00028
"Allium ursinum",4.61,"m","seed dispersal","MaxDispersalDistance","Tamme et al. 2014",1,"yrs","AgeAtMaturity","TRY",0.00461,"Tamme et al. 2014",0.00461,1,1,0.00461
"Allium vineale",0.05,"m","seed dispersal","MedianDispersalDistance","Tamme et al. 2014",1,"yrs","AgeAtMaturity","TRY",0.00024,"Tamme et al. 2014",0.000145,2,1,0.00024
"Allium vineale",0.24,"m","seed dispersal","99thPercentileDispersalDistance","Tamme et al. 2014",1,"yrs","AgeAtMaturity","TRY",0.00024,"Tamme et al. 2014",0.000145,2,1,0.00024
"Alnus glutinosa",20,"m","seed dispersal","MeanDispersalDistance","TRY database",7,"yrs","AgeAtMaturity","TRY",0.06,"TRY database",0.03,4,7,0.00857142857142857
"Alnus glutinosa",30,"m","seed dispersal","MeanDispersalDistance","TRY database",7,"yrs","AgeAtMaturity","TRY",0.06,"TRY database",0.03,4,7,0.00857142857142857
"Alnus glutinosa",30,"m","seed dispersal","MaxDispersalDistance","TRY database",7,"yrs","AgeAtMaturity","TRY",0.06,"TRY database",0.03,4,7,0.00857142857142857
"Alnus glutinosa",60,"m","seed dispersal","MaxDispersalDistance","TRY database",7,"yrs","AgeAtMaturity","TRY",0.06,"TRY database",0.03,4,7,0.00857142857142857
"Anagallis minima",0,"m","seed dispersal","MedianDispersalDistance","Tamme et al. 2014",1,"yrs","AgeAtMaturity","TRY",2e-05,"Tamme et al. 2014",1e-05,2,1,2e-05
"Anagallis minima",0.02,"m","seed dispersal","99thPercentileDispersalDistance","Tamme et al. 2014",1,"yrs","AgeAtMaturity","TRY",2e-05,"Tamme et al. 2014",1e-05,2,1,2e-05
"Anas acuta",2.541645117,"km","natal dispersal","SingleObservation","Chu 2021",240,"days","AgeAtMaturity","AnAge",2.541645117,"Chu 2021",2.541645117,2,1,2.541645117
"Anas acuta",2.541645117,"km","natal dispersal","SingleObservation","Chu 2021",240,"days","AgeAtMaturity","AnAge",2.541645117,"Chu 2021",2.541645117,2,1,2.541645117
"Anas platyrhynchos",63100,"m","natal/breeding dispersal","MaxDispersalDistance","Jenkins et al. 2007",365,"days","AgeAtMaturity","AnAge",270.5094065,"Chu 2021",19.9,7,1,270.5094065
"Anas platyrhynchos",18.6,"km","breeding dispersal","MeanDispersalDistance","Paradis et al. 2002",365,"days","AgeAtMaturity","AnAge",270.5094065,"Chu 2021",19.9,7,1,270.5094065
"Anas platyrhynchos",19.9,"km","natal dispersal","MeanDispersalDistance","Paradis et al. 2002",365,"days","AgeAtMaturity","AnAge",270.5094065,"Chu 2021",19.9,7,1,270.5094065
"Anas platyrhynchos",5.192,"km","breeding dispersal","MeanDispersalDistance","Paradis et al. 2002",365,"days","AgeAtMaturity","AnAge",270.5094065,"Chu 2021",19.9,7,1,270.5094065
"Anas platyrhynchos",6.058,"km","natal dispersal","MeanDispersalDistance","Paradis et al. 2002",365,"days","AgeAtMaturity","AnAge",270.5094065,"Chu 2021",19.9,7,1,270.5094065
"Anas platyrhynchos",64.38313275,"km","natal dispersal","MeanDispersalDistance","Chu 2021",365,"days","AgeAtMaturity","AnAge",270.5094065,"Chu 2021",19.9,7,1,270.5094065
"Anas platyrhynchos",270.5094065,"km","natal dispersal","MeanDispersalDistance","Chu 2021",365,"days","AgeAtMaturity","AnAge",270.5094065,"Chu 2021",19.9,7,1,270.5094065
"Angelica sylvestris",3.8,"m","seed dispersal","MaxDispersalDistance","Tamme et al. 2014",1,"yrs","AgeAtMaturity","TRY",0.0038,"Tamme et al. 2014",0.00229,5,1,0.0038
"Angelica sylvestris",2.29,"m","seed dispersal","MedianDispersalDistance","Tamme et al. 2014",1,"yrs","AgeAtMaturity","TRY",0.0038,"Tamme et al. 2014",0.00229,5,1,0.0038
"Angelica sylvestris",2.29,"m","seed dispersal","MedianDispersalDistance","Vittoz & Engler 2007",1,"yrs","AgeAtMaturity","TRY",0.0038,"Tamme et al. 2014",0.00229,5,1,0.0038
"Angelica sylvestris",0.31,"m","seed dispersal","MedianDispersalDistance","Vittoz & Engler 2007",1,"yrs","AgeAtMaturity","TRY",0.0038,"Tamme et al. 2014",0.00229,5,1,0.0038
"Angelica sylvestris",1.91,"m","seed dispersal","99thPercentileDispersalDistance","Vittoz & Engler 2007",1,"yrs","AgeAtMaturity","TRY",0.0038,"Tamme et al. 2014",0.00229,5,1,0.0038
"Anthoxanthum odoratum",2,"m","seed dispersal","MaxDispersalDistance","Tamme et al. 2014",1,"yrs","AgeAtMaturity","TRY",0.002,"Tamme et al. 2014",0.002,3,1,0.002
"Anthoxanthum odoratum",0.3,"m","seed dispersal","ModeDispersalDistance","Tamme et al. 2014",1,"yrs","AgeAtMaturity","TRY",0.002,"Tamme et al. 2014",0.002,3,1,0.002
"Anthoxanthum odoratum",2,"m","seed dispersal","MaxDispersalDistance","Vittoz & Engler 2007",1,"yrs","AgeAtMaturity","TRY",0.002,"Tamme et al. 2014",0.002,3,1,0.002
"Anthriscus sylvestris",120,"m","seed dispersal","MaxDispersalDistance","Tamme et al. 2014",1,"yrs","AgeAtMaturity","TRY",0.12,"Tamme et al. 2014",0.12,1,1,0.12
"Apus apus",111000,"m","natal/breeding dispersal","MaxDispersalDistance","Jenkins et al. 2007",728.468,"days","AgeAtMaturity","Amniota",111,"Jenkins et al. 2007",11.466,5,2,55.5
"Apus apus",10.8,"km","breeding dispersal","MeanDispersalDistance","Paradis et al. 2002",728.468,"days","AgeAtMaturity","Amniota",111,"Jenkins et al. 2007",11.466,5,2,55.5
"Apus apus",36.8,"km","natal dispersal","MeanDispersalDistance","Paradis et al. 2002",728.468,"days","AgeAtMaturity","Amniota",111,"Jenkins et al. 2007",11.466,5,2,55.5
