"species","v1","v2","scientificName","kingdom","phylum","class","order","family","db","db_code","reported_name_fixed","reported_name","Method"
"Abies nordmanniana",1,1,"Abies nordmanniana","Plantae","Tracheophyta","Pinopsida","Pinales","Pinaceae","GBIF","GBIF:2685552","Abies nordmanniana","Abies nordmanniana","Find_Sci_Names"
"Abies pinsapo",0,1,"Abies pinsapo","Plantae","Tracheophyta","Pinopsida","Pinales","Pinaceae","GBIF","GBIF:2685464","Abies pinsapo","Abies pinsapo","Find_Sci_Names"
"Abra alba",1,1,"Abra alba","Animalia","Mollusca","Bivalvia","Cardiida","Semelidae","GBIF","GBIF:5189061","Abra alba","Abra alba","Find_Sci_Names"
"Abra prismatica",1,1,"Abra prismatica","Animalia","Mollusca","Bivalvia","Cardiida","Semelidae","GBIF","GBIF:5189053","Abra prismatica","Abra prismatica","Find_Sci_Names"
"Abramis brama",1,1,"Abramis brama","Animalia","Chordata","Actinopteri","Cypriniformes","Cyprinidae","GBIF","GBIF:9809222","Abramis brama","Abramis brama","Find_Sci_Names | class from NCBI using taxize"
"Abraxas grossulariatus",1,1,"Abraxas grossulariata","Animalia","Arthropoda","Insecta","Lepidoptera","Geometridae","GBIF","GBIF:1967873","Abraxas grossulariata","Abraxas grossulariata","Find_Sci_Names"
"Abraxas grossulariata",1,1,"Abraxas grossulariata","Animalia","Arthropoda","Insecta","Lepidoptera","Geometridae","GBIF","GBIF:1967873","Abraxas grossulariata","Abraxas grossulariata","Find_Sci_Names"
"Abraxas intervacuata",1,1,"Abraxas intervacuata","Animalia","Arthropoda","Insecta","Lepidoptera","Geometridae","GBIF","GBIF:1967959","Abraxas intervacuata","Abraxas intervacuata","Find_Sci_Names"
"Abraxas invasata",1,1,"Abraxas invasata","Animalia","Arthropoda","Insecta","Lepidoptera","Geometridae","GBIF","GBIF:1967945","Abraxas invasata","Abraxas invasata","Find_Sci_Names"
"Abraxas sylvata",1,1,"Abraxas sylvata","Animalia","Arthropoda","Insecta","Lepidoptera","Geometridae","GBIF","GBIF:1967815","Abraxas sylvata","Abraxas sylvata","Find_Sci_Names"
"Abronia latifolia",1,1,"Abronia latifolia","Plantae","Tracheophyta","Magnoliopsida","Caryophyllales","Nyctaginaceae","GBIF","GBIF:5384891","Abronia latifolia","Abronia latifolia","Find_Sci_Names"
"Abronia maritima",1,1,"Abronia maritima","Plantae","Tracheophyta","Magnoliopsida","Caryophyllales","Nyctaginaceae","GBIF","GBIF:5384895","Abronia maritima","Abronia maritima","Find_Sci_Names"
"Abronia nana",1,1,"Abronia nana","Plantae","Tracheophyta","Magnoliopsida","Caryophyllales","Nyctaginaceae","GBIF","GBIF:5384875","Abronia nana","Abronia nana var. covillei","Find_Sci_Names"
"Abronia pogonantha",1,1,"Abronia pogonantha","Plantae","Tracheophyta","Magnoliopsida","Caryophyllales","Nyctaginaceae","GBIF","GBIF:5384868","Abronia pogonantha","Abronia pogonantha","Find_Sci_Names"
"Abronia umbellata",1,1,"Abronia umbellata","Plantae","Tracheophyta","Magnoliopsida","Caryophyllales","Nyctaginaceae","GBIF","GBIF:5384870","Abronia umbellata","Abronia umbellata","Find_Sci_Names"
"Abronia villosa",1,1,"Abronia villosa","Plantae","Tracheophyta","Magnoliopsida","Caryophyllales","Nyctaginaceae","GBIF","GBIF:5384880","Abronia villosa","Abronia villosa","Find_Sci_Names"
"Abronia villosa",1,1,"Abronia villosa","Plantae","Tracheophyta","Magnoliopsida","Caryophyllales","Nyctaginaceae","GBIF","GBIF:5384880","Abronia villosa","Abronia villosa var. aurita","Find_Sci_Names"
"Abronia villosa",1,1,"Abronia villosa","Plantae","Tracheophyta","Magnoliopsida","Caryophyllales","Nyctaginaceae","GBIF","GBIF:5384880","Abronia villosa","Abronia villosa var. villosa","Find_Sci_Names"
"Abroscopus superciliaris",1,1,"Abroscopus superciliaris","Animalia","Chordata","Aves","Passeriformes","Cettiidae","GBIF","GBIF:2493238","Abroscopus superciliaris","Abroscopus superciliaris","Find_Sci_Names"
"Abrostola asclepiadis",1,1,"Abrostola asclepiadis","Animalia","Arthropoda","Insecta","Lepidoptera","Noctuidae","GBIF","GBIF:1767608","Abrostola asclepiadis","Abrostola asclepiadis","Find_Sci_Names"
"Abrostola tripartita",1,1,"Abrostola tripartita","Animalia","Arthropoda","Insecta","Lepidoptera","Noctuidae","GBIF","GBIF:1767625","Abrostola tripartita","Abrostola tripartita","Find_Sci_Names"
"Abrostola triplasia",1,1,"Abrostola triplasia","Animalia","Arthropoda","Insecta","Lepidoptera","Noctuidae","GBIF","GBIF:1767597","Abrostola triplasia","Abrostola triplasia","Find_Sci_Names"
"Podistra schoenherri",1,1,"Podistra schoenherri","Animalia","Arthropoda","Insecta","Coleoptera","Cantharidae","GBIF","GBIF:4429884","Absidia schoenherri","Absidia schoenherri","Find_Sci_Names"
"Aburria aburri",0,1,"Aburria aburri","Animalia","Chordata","Aves","Galliformes","Cracidae","GBIF","GBIF:2482313","Aburria aburri","Aburria aburri","Find_Sci_Names"
"Abutilon theophrasti",1,1,"Abutilon theophrasti","Plantae","Tracheophyta","Magnoliopsida","Malvales","Malvaceae","GBIF","GBIF:3152614","Abutilon theophrasti","Abutilon theophrasti","Find_Sci_Names"
"Faidherbia albida",1,0,"Faidherbia albida","Plantae","Tracheophyta","Magnoliopsida","Fabales","Fabaceae","GBIF","GBIF:5360150","Acacia albida","Acacia albida","Find_Sci_Names"
"Senegalia ataxacantha",1,0,"Senegalia ataxacantha","Plantae","Tracheophyta","Magnoliopsida","Fabales","Fabaceae","GBIF","GBIF:7510932","Acacia ataxacantha","Acacia ataxacantha","Find_Sci_Names"
"Acacia baileyana",1,1,"Acacia baileyana","Plantae","Tracheophyta","Magnoliopsida","Fabales","Fabaceae","GBIF","GBIF:2981303","Acacia baileyana","Acacia baileyana","Find_Sci_Names"
"Acacia dealbata",1,1,"Acacia dealbata","Plantae","Tracheophyta","Magnoliopsida","Fabales","Fabaceae","GBIF","GBIF:2979474","Acacia dealbata","Acacia dealbata","Find_Sci_Names"
"Acacia koa",1,1,"Acacia koa","Plantae","Tracheophyta","Magnoliopsida","Fabales","Fabaceae","GBIF","GBIF:2980514","Acacia koa","Acacia koa","Find_Sci_Names"
"Acacia longifolia",1,1,"Acacia longifolia","Plantae","Tracheophyta","Magnoliopsida","Fabales","Fabaceae","GBIF","GBIF:2978730","Acacia longifolia","Acacia longifolia","Find_Sci_Names"
"Senegalia macrostachya",1,0,"Senegalia macrostachya","Plantae","Tracheophyta","Magnoliopsida","Fabales","Fabaceae","GBIF","GBIF:7936172","Acacia macrostachya","Acacia macrostachya","Find_Sci_Names"
"Acacia melanoxylon",1,1,"Acacia melanoxylon","Plantae","Tracheophyta","Magnoliopsida","Fabales","Fabaceae","GBIF","GBIF:2979000","Acacia melanoxylon","Acacia melanoxylon","Find_Sci_Names"
"Vachellia nilotica",1,0,"Vachellia nilotica","Plantae","Tracheophyta","Magnoliopsida","Fabales","Fabaceae","GBIF","GBIF:3974744","Acacia nilotica","Acacia nilotica adansonii","Find_Sci_Names"
"Vachellia nilotica",1,0,"Vachellia nilotica","Plantae","Tracheophyta","Magnoliopsida","Fabales","Fabaceae","GBIF","GBIF:3974744","Acacia nilotica","Acacia nilotica tomentosa","Find_Sci_Names"
"Vachellia tortilis",1,0,"Vachellia tortilis","Plantae","Tracheophyta","Magnoliopsida","Fabales","Fabaceae","GBIF","GBIF:6709999","Acacia raddiana","Acacia raddiana","Find_Sci_Names"
"Senegalia senegal",1,0,"Senegalia senegal","Plantae","Tracheophyta","Magnoliopsida","Fabales","Fabaceae","GBIF","GBIF:3977346","Acacia senegal","Acacia senegal","Find_Sci_Names"
"Vachellia seyal",1,0,"Vachellia seyal","Plantae","Tracheophyta","Magnoliopsida","Fabales","Fabaceae","GBIF","GBIF:3974722","Acacia seyal","Acacia seyal","Find_Sci_Names"
"Vachellia sieberiana",1,0,"Vachellia sieberiana","Plantae","Tracheophyta","Magnoliopsida","Fabales","Fabaceae","GBIF","GBIF:7564113","Acacia sieberiana","Acacia sieberiana","Find_Sci_Names"
"Acaena argentea",1,1,"Acaena argentea","Plantae","Tracheophyta","Magnoliopsida","Rosales","Rosaceae","GBIF","GBIF:5370675","Acaena argentea","Acaena argentea","Find_Sci_Names"
"Acaena magellanica",1,1,"Acaena magellanica","Plantae","Tracheophyta","Magnoliopsida","Rosales","Rosaceae","GBIF","GBIF:5370832","Acaena magellanica","Acaena magellanica","Find_Sci_Names"
"Acalles camelus",1,1,"Acalles camelus","Animalia","Arthropoda","Insecta","Coleoptera","Curculionidae","GBIF","GBIF:1211506","Acalles camelus","Acalles camelus","Find_Sci_Names"
"Acalypha californica",1,1,"Acalypha californica","Plantae","Tracheophyta","Magnoliopsida","Malpighiales","Euphorbiaceae","GBIF","GBIF:3056674","Acalypha californica","Acalypha californica","Find_Sci_Names"
"Acalypha virginica",1,0,"Acalypha virginica","Plantae","Tracheophyta","Magnoliopsida","Malpighiales","Euphorbiaceae","GBIF","GBIF:3056055","Acalypha virginica","Acalypha virginica","Find_Sci_Names"
"Acamptopappus shockleyi",1,1,"Acamptopappus shockleyi","Plantae","Tracheophyta","Magnoliopsida","Asterales","Asteraceae","GBIF","GBIF:3113876","Acamptopappus shockleyi","Acamptopappus shockleyi","Find_Sci_Names"
"Acamptopappus sphaerocephalus",1,1,"Acamptopappus sphaerocephalus","Plantae","Tracheophyta","Magnoliopsida","Asterales","Asteraceae","GBIF","GBIF:3113874","Acamptopappus sphaerocephalus","Acamptopappus sphaerocephalus","Find_Sci_Names"
"Acamptopappus sphaerocephalus",1,1,"Acamptopappus sphaerocephalus","Plantae","Tracheophyta","Magnoliopsida","Asterales","Asteraceae","GBIF","GBIF:3113874","Acamptopappus sphaerocephalus","Acamptopappus sphaerocephalus var. hirtellus","Find_Sci_Names"
"Acamptopappus sphaerocephalus",1,1,"Acamptopappus sphaerocephalus","Plantae","Tracheophyta","Magnoliopsida","Asterales","Asteraceae","GBIF","GBIF:3113874","Acamptopappus sphaerocephalus","Acamptopappus sphaerocephalus var. sphaerocephalus","Find_Sci_Names"
"Acanthagenys rufogularis",1,0,"Acanthagenys rufogularis","Animalia","Chordata","Aves","Passeriformes","Meliphagidae","GBIF","GBIF:2487054","Acanthagenys rufogularis","Acanthagenys rufogularis","Find_Sci_Names"
"Acanthaluteres spilomelanurus",1,1,"Acanthaluteres spilomelanurus","Animalia","Chordata","Actinopteri","Tetraodontiformes","Monacanthidae","GBIF","GBIF:2406696","Acanthaluteres spilomelanurus","Acanthaluteres spilomelanurus","Find_Sci_Names | class from NCBI using taxize"
"Acanthaluteres vittiger",1,1,"Acanthaluteres vittiger","Animalia","Chordata","Actinopteri","Tetraodontiformes","Monacanthidae","GBIF","GBIF:2406702","Acanthaluteres vittiger","Acanthaluteres vittiger","Find_Sci_Names | class from NCBI using taxize"
"Acanthina punctulata",0,1,"Acanthina punctulata","Animalia","Mollusca","Gastropoda","Neogastropoda","Muricidae","GBIF","GBIF:9767120","Acanthina punctulata","Acanthina punctulata","Find_Sci_Names"
"Acanthis flammea",0,1,"Acanthis flammea","Animalia","Chordata","Aves","Passeriformes","Fringillidae","GBIF","GBIF:5231630","Acanthis flammea","Acanthis flammea","Find_Sci_Names"
"Acanthis flammea",0,1,"Acanthis flammea","Animalia","Chordata","Aves","Passeriformes","Fringillidae","GBIF","GBIF:5231630","Acanthis flammea","Acanthis flammea carduelis flammea)","Find_Sci_Names"
"Acanthiza apicalis",1,0,"Acanthiza apicalis","Animalia","Chordata","Aves","Passeriformes","Acanthizidae","GBIF","GBIF:7341406","Acanthiza apicalis","Acanthiza apicalis","Find_Sci_Names"
"Acanthiza chrysorrhoa",1,0,"Acanthiza chrysorrhoa","Animalia","Chordata","Aves","Passeriformes","Acanthizidae","GBIF","GBIF:5230400","Acanthiza chrysorrhoa","Acanthiza chrysorrhoa","Find_Sci_Names"
"Acanthiza ewingii",1,0,"Acanthiza ewingii","Animalia","Chordata","Aves","Passeriformes","Acanthizidae","GBIF","GBIF:5230404","Acanthiza ewingii","Acanthiza ewingii","Find_Sci_Names"
"Acanthiza inornata",1,0,"Acanthiza inornata","Animalia","Chordata","Aves","Passeriformes","Acanthizidae","GBIF","GBIF:5230408","Acanthiza inornata","Acanthiza inornata","Find_Sci_Names"
"Acanthiza iredalei",1,0,"Acanthiza iredalei","Animalia","Chordata","Aves","Passeriformes","Acanthizidae","GBIF","GBIF:5230405","Acanthiza iredalei","Acanthiza iredalei","Find_Sci_Names"
"Acanthiza katherina",1,0,"Acanthiza katherina","Animalia","Chordata","Aves","Passeriformes","Acanthizidae","GBIF","GBIF:5230409","Acanthiza katherina","Acanthiza katherina","Find_Sci_Names"
"Acanthiza lineata",1,0,"Acanthiza lineata","Animalia","Chordata","Aves","Passeriformes","Acanthizidae","GBIF","GBIF:5230401","Acanthiza lineata","Acanthiza lineata","Find_Sci_Names"
"Acanthiza nana",1,0,"Acanthiza nana","Animalia","Chordata","Aves","Passeriformes","Acanthizidae","GBIF","GBIF:5230410","Acanthiza nana","Acanthiza nana","Find_Sci_Names"
"Acanthiza pusilla",1,0,"Acanthiza pusilla","Animalia","Chordata","Aves","Passeriformes","Acanthizidae","GBIF","GBIF:5230402","Acanthiza pusilla","Acanthiza pusilla","Find_Sci_Names"
"Acanthiza reguloides",1,0,"Acanthiza reguloides","Animalia","Chordata","Aves","Passeriformes","Acanthizidae","GBIF","GBIF:5230407","Acanthiza reguloides","Acanthiza reguloides","Find_Sci_Names"
"Acanthiza robustirostris",1,0,"Acanthiza robustirostris","Animalia","Chordata","Aves","Passeriformes","Acanthizidae","GBIF","GBIF:5230411","Acanthiza robustirostris","Acanthiza robustirostris","Find_Sci_Names"
"Acanthiza uropygialis",1,0,"Acanthiza uropygialis","Animalia","Chordata","Aves","Passeriformes","Acanthizidae","GBIF","GBIF:5230403","Acanthiza uropygialis","Acanthiza uropygialis","Find_Sci_Names"
"Acanthochitona achates",1,1,"Acanthochitona achates","Animalia","Mollusca","Polyplacophora","Chitonida","Acanthochitonidae","GBIF","GBIF:2305930","Acanthochitona achates","Acanthochitona achates","Find_Sci_Names"
"Acanthodactylus erythrurus",1,1,"Acanthodactylus erythrurus","Animalia","Chordata","Squamata","Squamata","Lacertidae","GBIF","GBIF:5226733","Acanthodactylus erythrurus","Acanthodactylus erythrurus","Find_Sci_Names | order from NCBI using taxize"
"Acanthomintha ilicifolia",1,1,"Acanthomintha ilicifolia","Plantae","Tracheophyta","Magnoliopsida","Lamiales","Lamiaceae","GBIF","GBIF:2927083","Acanthomintha ilicifolia","Acanthomintha ilicifolia","Find_Sci_Names"
"Acanthomintha lanceolata",1,1,"Acanthomintha lanceolata","Plantae","Tracheophyta","Magnoliopsida","Lamiales","Lamiaceae","GBIF","GBIF:2927082","Acanthomintha lanceolata","Acanthomintha lanceolata","Find_Sci_Names"
"Acanthopleura echinata",1,1,"Enoplochiton echinatus","Animalia","Mollusca","Polyplacophora","Chitonida","Chitonidae","GBIF","GBIF:12237845","Acanthopleura echinata","Acanthopleura echinata","Find_Sci_Names"
"Liolophura japonica",1,1,"Liolophura japonica","Animalia","Mollusca","Polyplacophora","Chitonida","Chitonidae","GBIF","GBIF:2306237","Acanthopleura japonica","Acanthopleura japonica","Find_Sci_Names"
"Acanthorhynchus superciliosus",1,0,"Acanthorhynchus superciliosus","Animalia","Chordata","Aves","Passeriformes","Meliphagidae","GBIF","GBIF:5230471","Acanthorhynchus superciliosus","Acanthorhynchus superciliosus","Find_Sci_Names"
"Acanthorhynchus tenuirostris",1,0,"Acanthorhynchus tenuirostris","Animalia","Chordata","Aves","Passeriformes","Meliphagidae","GBIF","GBIF:5230466","Acanthorhynchus tenuirostris","Acanthorhynchus tenuirostris","Find_Sci_Names"
"Acanthornis magnus",1,0,"Acanthornis magna","Animalia","Chordata","Aves","Passeriformes","Acanthizidae","GBIF","GBIF:7341473","Acanthornis magnus","Acanthornis magnus","Find_Sci_Names"
"Acanthoscyphus parishii",1,1,"Acanthoscyphus parishii","Plantae","Tracheophyta","Magnoliopsida","Caryophyllales","Polygonaceae","GBIF","GBIF:6391746","Acanthoscyphus parishii","Acanthoscyphus parishii var. goodmaniana","Find_Sci_Names"
"Acanthosoma haemorrhoidale",1,1,"Acanthosoma haemorrhoidale","Animalia","Arthropoda","Insecta","Hemiptera","Acanthosomatidae","GBIF","GBIF:5866246","Acanthosoma haemorrhoidale","Acanthosoma haemorrhoidale","Find_Sci_Names"
"Acanthurus xanthopterus",0,1,"Acanthurus xanthopterus","Animalia","Chordata","Actinopteri","Perciformes","Acanthuridae","GBIF","GBIF:5209252","Acanthurus xanthopterus","Acanthurus xanthopterus","Find_Sci_Names | class from NCBI using taxize"
"Acasis viretata",1,1,"Acasis viretata","Animalia","Arthropoda","Insecta","Lepidoptera","Geometridae","GBIF","GBIF:7681733","Acasis viretata","Acasis viretata","Find_Sci_Names"
"Accipiter badius",0,1,"Accipiter badius","Animalia","Chordata","Aves","Accipitriformes","Accipitridae","GBIF","GBIF:2480610","Accipiter badius","Accipiter badius","Find_Sci_Names"
"Accipiter cooperii",1,1,"Accipiter cooperii","Animalia","Chordata","Aves","Accipitriformes","Accipitridae","GBIF","GBIF:2480621","Accipiter cooperii","Accipiter cooperii","Find_Sci_Names"
"Accipiter gentilis",1,1,"Accipiter gentilis","Animalia","Chordata","Aves","Accipitriformes","Accipitridae","GBIF","GBIF:2480589","Accipiter gentilis","Accipiter gentilis","Find_Sci_Names"
"Accipiter melanoleucus",0,1,"Accipiter melanoleucus","Animalia","Chordata","Aves","Accipitriformes","Accipitridae","GBIF","GBIF:2480631","Accipiter melanoleucus","Accipiter melanoleucus","Find_Sci_Names"
"Accipiter meyerianus",1,1,"Accipiter meyerianus","Animalia","Chordata","Aves","Accipitriformes","Accipitridae","GBIF","GBIF:2480602","Accipiter meyerianus","Accipiter meyerianus","Find_Sci_Names"
"Accipiter minullus",0,1,"Accipiter minullus","Animalia","Chordata","Aves","Accipitriformes","Accipitridae","GBIF","GBIF:2480594","Accipiter minullus","Accipiter minullus","Find_Sci_Names"
"Accipiter nisus",1,1,"Accipiter nisus","Animalia","Chordata","Aves","Accipitriformes","Accipitridae","GBIF","GBIF:2480637","Accipiter nisus","Accipiter nisus","Find_Sci_Names"
"Accipiter novaehollandiae",1,0,"Accipiter novaehollandiae","Animalia","Chordata","Aves","Accipitriformes","Accipitridae","GBIF","GBIF:2480629","Accipiter novaehollandiae","Accipiter novaehollandiae","Find_Sci_Names"
"Accipiter ovampensis",0,1,"Accipiter ovampensis","Animalia","Chordata","Aves","Accipitriformes","Accipitridae","GBIF","GBIF:2480587","Accipiter ovampensis","Accipiter ovampensis","Find_Sci_Names"
"Accipiter poliocephalus",1,1,"Accipiter poliocephalus","Animalia","Chordata","Aves","Accipitriformes","Accipitridae","GBIF","GBIF:2480607","Accipiter poliocephalus","Accipiter poliocephalus","Find_Sci_Names"
"Accipiter rufiventris",0,1,"Accipiter rufiventris","Animalia","Chordata","Aves","Accipitriformes","Accipitridae","GBIF","GBIF:2480609","Accipiter rufiventris","Accipiter rufiventris","Find_Sci_Names"
"Accipiter striatus",1,1,"Accipiter striatus","Animalia","Chordata","Aves","Accipitriformes","Accipitridae","GBIF","GBIF:9740253","Accipiter striatus","Accipiter striatus","Find_Sci_Names"
"Accipiter tachiro",0,1,"Accipiter tachiro","Animalia","Chordata","Aves","Accipitriformes","Accipitridae","GBIF","GBIF:2480635","Accipiter tachiro","Accipiter tachiro","Find_Sci_Names"
"Accipiter trivirgatus",1,1,"Accipiter trivirgatus","Animalia","Chordata","Aves","Accipitriformes","Accipitridae","GBIF","GBIF:2480603","Accipiter trivirgatus","Accipiter trivirgatus","Find_Sci_Names"
"Accipiter virgatus",0,1,"Accipiter virgatus","Animalia","Chordata","Aves","Accipitriformes","Accipitridae","GBIF","GBIF:2480595","Accipiter virgatus","Accipiter virgatus","Find_Sci_Names"
"Acer saccharum",1,0,"Acer barbatum","Plantae","Tracheophyta","Magnoliopsida","Sapindales","Sapindaceae","GBIF","GBIF:3189871","Acer barbatum","Acer barbatum","Find_Sci_Names"
"Acer campestre",1,1,"Acer campestre","Plantae","Tracheophyta","Magnoliopsida","Sapindales","Sapindaceae","GBIF","GBIF:3189863","Acer campestre","Acer campestre","Find_Sci_Names"
"Acer circinatum",1,1,"Acer circinatum","Plantae","Tracheophyta","Magnoliopsida","Sapindales","Sapindaceae","GBIF","GBIF:3189884","Acer circinatum","Acer circinatum","Find_Sci_Names"
"Acer glabrum",1,1,"Acer glabrum","Plantae","Tracheophyta","Magnoliopsida","Sapindales","Sapindaceae","GBIF","GBIF:3189864","Acer glabrum","Acer glabrum","Find_Sci_Names"
"Acer glabrum",1,1,"Acer glabrum","Plantae","Tracheophyta","Magnoliopsida","Sapindales","Sapindaceae","GBIF","GBIF:3189864","Acer glabrum","Acer glabrum var. diffusum","Find_Sci_Names"
"Acer glabrum",1,1,"Acer glabrum","Plantae","Tracheophyta","Magnoliopsida","Sapindales","Sapindaceae","GBIF","GBIF:3189864","Acer glabrum","Acer glabrum var. glabrum","Find_Sci_Names"
"Acer macrophyllum",1,1,"Acer macrophyllum","Plantae","Tracheophyta","Magnoliopsida","Sapindales","Sapindaceae","GBIF","GBIF:3189835","Acer macrophyllum","Acer macrophyllum","Find_Sci_Names"
"Acer monspessulanum",1,1,"Acer monspessulanum","Plantae","Tracheophyta","Magnoliopsida","Sapindales","Sapindaceae","GBIF","GBIF:7262958","Acer monspessulanum","Acer monspessulanum","Find_Sci_Names"
"Acer monspessulanum",1,1,"Acer monspessulanum","Plantae","Tracheophyta","Magnoliopsida","Sapindales","Sapindaceae","GBIF","GBIF:7262958","Acer monspessulanus","Acer monspessulanus","Find_Sci_Names"
"Acer negundo",1,1,"Acer negundo","Plantae","Tracheophyta","Magnoliopsida","Sapindales","Sapindaceae","GBIF","GBIF:3189866","Acer negundo","Acer negundo","Find_Sci_Names"
"Acer saccharum",1,0,"Acer nigrum","Plantae","Tracheophyta","Magnoliopsida","Sapindales","Sapindaceae","GBIF","GBIF:3189854","Acer nigrum","Acer nigrum","Find_Sci_Names"
"Acer opalus",1,1,"Acer opalus","Plantae","Tracheophyta","Magnoliopsida","Sapindales","Sapindaceae","GBIF","GBIF:7100278","Acer opalus","Acer opalus","Find_Sci_Names"
"Acer pensylvanicum",1,0,"Acer pensylvanicum","Plantae","Tracheophyta","Magnoliopsida","Sapindales","Sapindaceae","GBIF","GBIF:3189836","Acer pennsylvanicum","Acer pennsylvanicum","Find_Sci_Names"
"Acer pensylvanicum",1,1,"Acer pensylvanicum","Plantae","Tracheophyta","Magnoliopsida","Sapindales","Sapindaceae","GBIF","GBIF:3189836","Acer pensylvanicum","Acer pensylvanicum","Find_Sci_Names"
"Acer platanoides",1,1,"Acer platanoides","Plantae","Tracheophyta","Magnoliopsida","Sapindales","Sapindaceae","GBIF","GBIF:3189846","Acer platanoides","Acer platanoides","Find_Sci_Names"
"Acer pseudoplatanus",1,1,"Acer pseudoplatanus","Plantae","Tracheophyta","Magnoliopsida","Sapindales","Sapindaceae","GBIF","GBIF:3189870","Acer pseudoplatanus","Acer pseudoplatanus","Find_Sci_Names"
"Acer rubrum",1,1,"Acer rubrum","Plantae","Tracheophyta","Magnoliopsida","Sapindales","Sapindaceae","GBIF","GBIF:3189883","Acer rubrum","Acer rubrum","Find_Sci_Names"
"Acer saccharinum",1,1,"Acer saccharinum","Plantae","Tracheophyta","Magnoliopsida","Sapindales","Sapindaceae","GBIF","GBIF:3189837","Acer saccharinum","Acer saccharinum","Find_Sci_Names"
"Acer saccharum",1,1,"Acer saccharum","Plantae","Tracheophyta","Magnoliopsida","Sapindales","Sapindaceae","GBIF","GBIF:3189859","Acer saccharum","Acer saccharum","Find_Sci_Names"
"Acer spicatum",1,1,"Acer spicatum","Plantae","Tracheophyta","Magnoliopsida","Sapindales","Sapindaceae","GBIF","GBIF:3189848","Acer spicatum","Acer spicatum","Find_Sci_Names"
"Arctia alpina",1,1,"Acerbia alpina","Animalia","Arthropoda","Insecta","Lepidoptera","Erebidae","GBIF","GBIF:5115794","Acerbia alpina","Acerbia alpina","Find_Sci_Names"
"Parasteatoda lunata",0,1,"Parasteatoda lunata","Animalia","Arthropoda","Arachnida","Araneae","Theridiidae","GBIF","GBIF:4550746","Achaearanea lunata","Achaearanea lunata","Find_Sci_Names"
"Cecropterus lyciades",0,1,"Achalarus lyciades","Animalia","Arthropoda","Insecta","Lepidoptera","Hesperiidae","GBIF","GBIF:1950349","Achalarus lyciades","Achalarus lyciades","Find_Sci_Names"
"Achelous spinicarpus",1,1,"Achelous spinicarpus","Animalia","Arthropoda","Malacostraca","Decapoda","Portunidae","GBIF","GBIF:5974595","Achelous spinicarpus","Achelous spinicarpus","Find_Sci_Names"
"Achelous spinimanus",1,1,"Achelous spinimanus","Animalia","Arthropoda","Malacostraca","Decapoda","Portunidae","GBIF","GBIF:5863626","Achelous spinimanus","Achelous spinimanus","Find_Sci_Names"
"Acherontia atropos",1,1,"Acherontia atropos","Animalia","Arthropoda","Insecta","Lepidoptera","Sphingidae","GBIF","GBIF:1861510","Acherontia atropos","Acherontia atropos","Find_Sci_Names"
"Acheta domesticus",1,1,"Acheta domesticus","Animalia","Arthropoda","Insecta","Orthoptera","Gryllidae","GBIF","GBIF:1718308","Acheta domesticus","Acheta domesticus","Find_Sci_Names"
"Achillea atrata",1,1,"Achillea atrata","Plantae","Tracheophyta","Magnoliopsida","Asterales","Asteraceae","GBIF","GBIF:3120203","Achillea atrata","Achillea atrata","Find_Sci_Names"
