LastName	FirstName	DatasetID	Dataset	SpeciesName	AccSpeciesID	AccSpeciesName	ObservationID	ObsDataID	TraitID	TraitName	DataID	DataName	OriglName	OrigValueStr	OrigUnitStr	ValueKindName	OrigUncertaintyStr	UncertaintyName	Replicates	StdValue	UnitName	RelUncertaintyPercent	OrigObsDataID	ErrorRisk	Reference	Comment	StdValueStr	
Kühn	Ingolf	4	BiolFlor Database	Datura stramonium	17034	Datura stramonium	635840	3077346	204	Flower insemination autogamous or xenogamous	578	Insemination autogamous or xenogamous	BEFRUCHTUNG_LANG_E	facultative autogamous											Kühn, I., W. Durka, and S. Klotz. 2004. BiolFlor - a new plant-trait database as a tool for plant invasion ecology. Diversity and Distribution 10 363-365.			
Kühn	Ingolf	4	BiolFlor Database	Datura stramonium	17034	Datura stramonium	635840	3077347			113	Reference / source	Reference	Weaver, S.E., Warwick, S.I. 1984 The biology of Canadian weeds. 64. Datura stramonium L. Canadi ...											Kühn, I., W. Durka, and S. Klotz. 2004. BiolFlor - a new plant-trait database as a tool for plant invasion ecology. Diversity and Distribution 10 363-365.		9029	
Kühn	Ingolf	4	BiolFlor Database	Dianthus armeria	17584	Dianthus armeria	635841	3077348	204	Flower insemination autogamous or xenogamous	578	Insemination autogamous or xenogamous	BEFRUCHTUNG_LANG_E	facultative autogamous											Kühn, I., W. Durka, and S. Klotz. 2004. BiolFlor - a new plant-trait database as a tool for plant invasion ecology. Diversity and Distribution 10 363-365.			
Kühn	Ingolf	4	BiolFlor Database	Dianthus armeria	17584	Dianthus armeria	635841	3077349			113	Reference / source	Reference	Anmerkung 2002 vgl. Klassifizierungsschema Abb.											Kühn, I., W. Durka, and S. Klotz. 2004. BiolFlor - a new plant-trait database as a tool for plant invasion ecology. Diversity and Distribution 10 363-365.		Anmerkung 2002 vgl. Klassifizierungsschema Abb.	
Kühn	Ingolf	4	BiolFlor Database	Digitaria sanguinalis	18103	Digitaria sanguinalis	635842	3077350	204	Flower insemination autogamous or xenogamous	578	Insemination autogamous or xenogamous	BEFRUCHTUNG_LANG_E	facultative autogamous											Kühn, I., W. Durka, and S. Klotz. 2004. BiolFlor - a new plant-trait database as a tool for plant invasion ecology. Diversity and Distribution 10 363-365.			
Kühn	Ingolf	4	BiolFlor Database	Digitaria sanguinalis	18103	Digitaria sanguinalis	635842	3077351			113	Reference / source	Reference	Anmerkung 2002 vgl. Klassifizierungsschema Abb.											Kühn, I., W. Durka, and S. Klotz. 2004. BiolFlor - a new plant-trait database as a tool for plant invasion ecology. Diversity and Distribution 10 363-365.		Anmerkung 2002 vgl. Klassifizierungsschema Abb.	
Kühn	Ingolf	4	BiolFlor Database	Diplotaxis muralis	18711	Diplotaxis muralis	635843	3077352	204	Flower insemination autogamous or xenogamous	578	Insemination autogamous or xenogamous	BEFRUCHTUNG_LANG_E	facultative autogamous											Kühn, I., W. Durka, and S. Klotz. 2004. BiolFlor - a new plant-trait database as a tool for plant invasion ecology. Diversity and Distribution 10 363-365.			
Kühn	Ingolf	4	BiolFlor Database	Diplotaxis muralis	18711	Diplotaxis muralis	635843	3077353			113	Reference / source	Reference	Anmerkung 2002 vgl. Klassifizierungsschema Abb.											Kühn, I., W. Durka, and S. Klotz. 2004. BiolFlor - a new plant-trait database as a tool for plant invasion ecology. Diversity and Distribution 10 363-365.		Anmerkung 2002 vgl. Klassifizierungsschema Abb.	
Kühn	Ingolf	4	BiolFlor Database	Draba fladnizensis	19214	Draba fladnizensis	635844	3077354	204	Flower insemination autogamous or xenogamous	578	Insemination autogamous or xenogamous	BEFRUCHTUNG_LANG_E	facultative autogamous											Kühn, I., W. Durka, and S. Klotz. 2004. BiolFlor - a new plant-trait database as a tool for plant invasion ecology. Diversity and Distribution 10 363-365.			
Kühn	Ingolf	4	BiolFlor Database	Draba fladnizensis	19214	Draba fladnizensis	635844	3077355			113	Reference / source	Reference	Anmerkung 2002 vgl. Klassifizierungsschema Abb.											Kühn, I., W. Durka, and S. Klotz. 2004. BiolFlor - a new plant-trait database as a tool for plant invasion ecology. Diversity and Distribution 10 363-365.		Anmerkung 2002 vgl. Klassifizierungsschema Abb.	
Kühn	Ingolf	4	BiolFlor Database	Draba tomentosa	19235	Draba tomentosa	635845	3077356	204	Flower insemination autogamous or xenogamous	578	Insemination autogamous or xenogamous	BEFRUCHTUNG_LANG_E	facultative autogamous											Kühn, I., W. Durka, and S. Klotz. 2004. BiolFlor - a new plant-trait database as a tool for plant invasion ecology. Diversity and Distribution 10 363-365.			
Kühn	Ingolf	4	BiolFlor Database	Draba tomentosa	19235	Draba tomentosa	635845	3077357			113	Reference / source	Reference	Anmerkung 2002 vgl. Klassifizierungsschema Abb.											Kühn, I., W. Durka, and S. Klotz. 2004. BiolFlor - a new plant-trait database as a tool for plant invasion ecology. Diversity and Distribution 10 363-365.		Anmerkung 2002 vgl. Klassifizierungsschema Abb.	
Kühn	Ingolf	4	BiolFlor Database	Echinochloa crus-galli	19722	Echinochloa crus-galli	635846	3077358	204	Flower insemination autogamous or xenogamous	578	Insemination autogamous or xenogamous	BEFRUCHTUNG_LANG_E	facultative autogamous											Kühn, I., W. Durka, and S. Klotz. 2004. BiolFlor - a new plant-trait database as a tool for plant invasion ecology. Diversity and Distribution 10 363-365.			
Kühn	Ingolf	4	BiolFlor Database	Echinochloa crus-galli	19722	Echinochloa crus-galli	635846	3077359			113	Reference / source	Reference	Maun, M.A., Barrett, S.C.H. 1986 The biology of Canadian weeds. 77. Echinochloa crus-galli (L.) ...											Kühn, I., W. Durka, and S. Klotz. 2004. BiolFlor - a new plant-trait database as a tool for plant invasion ecology. Diversity and Distribution 10 363-365.		5374	
Kühn	Ingolf	4	BiolFlor Database	Elatine alsinastrum	20033	Elatine alsinastrum	635847	3077360	204	Flower insemination autogamous or xenogamous	578	Insemination autogamous or xenogamous	BEFRUCHTUNG_LANG_E	facultative autogamous											Kühn, I., W. Durka, and S. Klotz. 2004. BiolFlor - a new plant-trait database as a tool for plant invasion ecology. Diversity and Distribution 10 363-365.			
Kühn	Ingolf	4	BiolFlor Database	Elatine alsinastrum	20033	Elatine alsinastrum	635847	3077361			113	Reference / source	Reference	Anmerkung 2002 vgl. Klassifizierungsschema Abb.											Kühn, I., W. Durka, and S. Klotz. 2004. BiolFlor - a new plant-trait database as a tool for plant invasion ecology. Diversity and Distribution 10 363-365.		Anmerkung 2002 vgl. Klassifizierungsschema Abb.	
Kühn	Ingolf	4	BiolFlor Database	Epilobium alsinifolium	20797	Epilobium alsinifolium	635848	3077362	204	Flower insemination autogamous or xenogamous	578	Insemination autogamous or xenogamous	BEFRUCHTUNG_LANG_E	facultative autogamous											Kühn, I., W. Durka, and S. Klotz. 2004. BiolFlor - a new plant-trait database as a tool for plant invasion ecology. Diversity and Distribution 10 363-365.			
Kühn	Ingolf	4	BiolFlor Database	Epilobium alsinifolium	20797	Epilobium alsinifolium	635848	3077363			113	Reference / source	Reference	Knuth, P. 1898 Handbuch der Blütenbiologie Leipzig											Kühn, I., W. Durka, and S. Klotz. 2004. BiolFlor - a new plant-trait database as a tool for plant invasion ecology. Diversity and Distribution 10 363-365.		4497	
Kühn	Ingolf	4	BiolFlor Database	Epilobium ciliatum	20816	Epilobium ciliatum	635849	3077364	204	Flower insemination autogamous or xenogamous	578	Insemination autogamous or xenogamous	BEFRUCHTUNG_LANG_E	facultative autogamous											Kühn, I., W. Durka, and S. Klotz. 2004. BiolFlor - a new plant-trait database as a tool for plant invasion ecology. Diversity and Distribution 10 363-365.			
Kühn	Ingolf	4	BiolFlor Database	Epilobium ciliatum	20816	Epilobium ciliatum	635849	3077365			113	Reference / source	Reference	Parker, I.M., Nakamura, R.R., Schemske, D.W. 1995 Reproductive allocation and the fitness conse ...											Kühn, I., W. Durka, and S. Klotz. 2004. BiolFlor - a new plant-trait database as a tool for plant invasion ecology. Diversity and Distribution 10 363-365.		6371	
Kühn	Ingolf	4	BiolFlor Database	Epilobium collinum	20817	Epilobium collinum	635850	3077366	204	Flower insemination autogamous or xenogamous	578	Insemination autogamous or xenogamous	BEFRUCHTUNG_LANG_E	facultative autogamous											Kühn, I., W. Durka, and S. Klotz. 2004. BiolFlor - a new plant-trait database as a tool for plant invasion ecology. Diversity and Distribution 10 363-365.			
Kühn	Ingolf	4	BiolFlor Database	Epilobium collinum	20817	Epilobium collinum	635850	3077367			113	Reference / source	Reference	Anmerkung 2002 vgl. Klassifizierungsschema Abb.											Kühn, I., W. Durka, and S. Klotz. 2004. BiolFlor - a new plant-trait database as a tool for plant invasion ecology. Diversity and Distribution 10 363-365.		Anmerkung 2002 vgl. Klassifizierungsschema Abb.	
Kühn	Ingolf	4	BiolFlor Database	Epilobium lanceolatum	20854	Epilobium lanceolatum	635851	3077368	204	Flower insemination autogamous or xenogamous	578	Insemination autogamous or xenogamous	BEFRUCHTUNG_LANG_E	facultative autogamous											Kühn, I., W. Durka, and S. Klotz. 2004. BiolFlor - a new plant-trait database as a tool for plant invasion ecology. Diversity and Distribution 10 363-365.			
Kühn	Ingolf	4	BiolFlor Database	Epilobium lanceolatum	20854	Epilobium lanceolatum	635851	3077369			113	Reference / source	Reference	Anmerkung 2002 vgl. Klassifizierungsschema Abb.											Kühn, I., W. Durka, and S. Klotz. 2004. BiolFlor - a new plant-trait database as a tool for plant invasion ecology. Diversity and Distribution 10 363-365.		Anmerkung 2002 vgl. Klassifizierungsschema Abb.	
Kühn	Ingolf	4	BiolFlor Database	Epilobium nutans	20870	Epilobium nutans	635852	3077370	204	Flower insemination autogamous or xenogamous	578	Insemination autogamous or xenogamous	BEFRUCHTUNG_LANG_E	facultative autogamous											Kühn, I., W. Durka, and S. Klotz. 2004. BiolFlor - a new plant-trait database as a tool for plant invasion ecology. Diversity and Distribution 10 363-365.			
Kühn	Ingolf	4	BiolFlor Database	Epilobium nutans	20870	Epilobium nutans	635852	3077371			113	Reference / source	Reference	Anmerkung 2002 pers. obs.											Kühn, I., W. Durka, and S. Klotz. 2004. BiolFlor - a new plant-trait database as a tool for plant invasion ecology. Diversity and Distribution 10 363-365.		Anmerkung 2002 pers. obs.	
Kühn	Ingolf	4	BiolFlor Database	Epilobium palustre	20875	Epilobium palustre	635853	3077372	204	Flower insemination autogamous or xenogamous	578	Insemination autogamous or xenogamous	BEFRUCHTUNG_LANG_E	facultative autogamous											Kühn, I., W. Durka, and S. Klotz. 2004. BiolFlor - a new plant-trait database as a tool for plant invasion ecology. Diversity and Distribution 10 363-365.			
Kühn	Ingolf	4	BiolFlor Database	Epilobium palustre	20875	Epilobium palustre	635853	3077373			113	Reference / source	Reference	Anmerkung 2002 vgl. Klassifizierungsschema Abb.											Kühn, I., W. Durka, and S. Klotz. 2004. BiolFlor - a new plant-trait database as a tool for plant invasion ecology. Diversity and Distribution 10 363-365.		Anmerkung 2002 vgl. Klassifizierungsschema Abb.	
Kühn	Ingolf	4	BiolFlor Database	Epilobium parviflorum	20877	Epilobium parviflorum	635854	3077374	204	Flower insemination autogamous or xenogamous	578	Insemination autogamous or xenogamous	BEFRUCHTUNG_LANG_E	facultative autogamous											Kühn, I., W. Durka, and S. Klotz. 2004. BiolFlor - a new plant-trait database as a tool for plant invasion ecology. Diversity and Distribution 10 363-365.			
Kühn	Ingolf	4	BiolFlor Database	Epilobium parviflorum	20877	Epilobium parviflorum	635854	3077375			113	Reference / source	Reference	Knuth, P. 1898 Handbuch der Blütenbiologie Leipzig											Kühn, I., W. Durka, and S. Klotz. 2004. BiolFlor - a new plant-trait database as a tool for plant invasion ecology. Diversity and Distribution 10 363-365.		4497	
Kühn	Ingolf	4	BiolFlor Database	Epilobium roseum	20885	Epilobium roseum	635855	3077376	204	Flower insemination autogamous or xenogamous	578	Insemination autogamous or xenogamous	BEFRUCHTUNG_LANG_E	facultative autogamous											Kühn, I., W. Durka, and S. Klotz. 2004. BiolFlor - a new plant-trait database as a tool for plant invasion ecology. Diversity and Distribution 10 363-365.			
Kühn	Ingolf	4	BiolFlor Database	Epilobium roseum	20885	Epilobium roseum	635855	3077377			113	Reference / source	Reference	Knuth, P. 1898 Handbuch der Blütenbiologie Leipzig											Kühn, I., W. Durka, and S. Klotz. 2004. BiolFlor - a new plant-trait database as a tool for plant invasion ecology. Diversity and Distribution 10 363-365.		4497	
Kühn	Ingolf	4	BiolFlor Database	Epipactis peitzii	20912	Epipactis leptochila	635856	3077378	204	Flower insemination autogamous or xenogamous	578	Insemination autogamous or xenogamous	BEFRUCHTUNG_LANG_E	facultative autogamous											Kühn, I., W. Durka, and S. Klotz. 2004. BiolFlor - a new plant-trait database as a tool for plant invasion ecology. Diversity and Distribution 10 363-365.			
Kühn	Ingolf	4	BiolFlor Database	Epipactis peitzii	20912	Epipactis leptochila	635856	3077379			113	Reference / source	Reference	Anmerkung 2002 vgl. Klassifizierungsschema Abb.											Kühn, I., W. Durka, and S. Klotz. 2004. BiolFlor - a new plant-trait database as a tool for plant invasion ecology. Diversity and Distribution 10 363-365.		Anmerkung 2002 vgl. Klassifizierungsschema Abb.	
Kühn	Ingolf	4	BiolFlor Database	Epipactis purpurata	20918	Epipactis purpurata	635857	3077380	204	Flower insemination autogamous or xenogamous	578	Insemination autogamous or xenogamous	BEFRUCHTUNG_LANG_E	facultative autogamous											Kühn, I., W. Durka, and S. Klotz. 2004. BiolFlor - a new plant-trait database as a tool for plant invasion ecology. Diversity and Distribution 10 363-365.			
Kühn	Ingolf	4	BiolFlor Database	Epipactis purpurata	20918	Epipactis purpurata	635857	3077381			113	Reference / source	Reference	Fryxell, P.M. 1957 Modes of reproduction of higher plants The Botanical Review 23:135-233											Kühn, I., W. Durka, and S. Klotz. 2004. BiolFlor - a new plant-trait database as a tool for plant invasion ecology. Diversity and Distribution 10 363-365.		2761	
Kühn	Ingolf	4	BiolFlor Database	Erica tetralix	21606	Erica tetralix	635858	3077382	204	Flower insemination autogamous or xenogamous	578	Insemination autogamous or xenogamous	BEFRUCHTUNG_LANG_E	facultative autogamous											Kühn, I., W. Durka, and S. Klotz. 2004. BiolFlor - a new plant-trait database as a tool for plant invasion ecology. Diversity and Distribution 10 363-365.			
Kühn	Ingolf	4	BiolFlor Database	Erica tetralix	21606	Erica tetralix	635858	3077383			113	Reference / source	Reference	Fryxell, P.M. 1957 Modes of reproduction of higher plants The Botanical Review 23:135-233											Kühn, I., W. Durka, and S. Klotz. 2004. BiolFlor - a new plant-trait database as a tool for plant invasion ecology. Diversity and Distribution 10 363-365.		2761	
Kühn	Ingolf	4	BiolFlor Database	Erigeron atticus	21628	Erigeron atticus	635859	3077384	204	Flower insemination autogamous or xenogamous	578	Insemination autogamous or xenogamous	BEFRUCHTUNG_LANG_E	facultative autogamous											Kühn, I., W. Durka, and S. Klotz. 2004. BiolFlor - a new plant-trait database as a tool for plant invasion ecology. Diversity and Distribution 10 363-365.			
Kühn	Ingolf	4	BiolFlor Database	Erigeron atticus	21628	Erigeron atticus	635859	3077385			113	Reference / source	Reference	Anmerkung 2002 vgl. Klassifizierungsschema Abb.											Kühn, I., W. Durka, and S. Klotz. 2004. BiolFlor - a new plant-trait database as a tool for plant invasion ecology. Diversity and Distribution 10 363-365.		Anmerkung 2002 vgl. Klassifizierungsschema Abb.	
Kühn	Ingolf	4	BiolFlor Database	Erigeron gaudinii	224581	Erigeron schleicheri	635860	3077386	204	Flower insemination autogamous or xenogamous	578	Insemination autogamous or xenogamous	BEFRUCHTUNG_LANG_E	facultative autogamous											Kühn, I., W. Durka, and S. Klotz. 2004. BiolFlor - a new plant-trait database as a tool for plant invasion ecology. Diversity and Distribution 10 363-365.			
Kühn	Ingolf	4	BiolFlor Database	Erigeron gaudinii	224581	Erigeron schleicheri	635860	3077387			113	Reference / source	Reference	Anmerkung 2002 vgl. Klassifizierungsschema Abb.											Kühn, I., W. Durka, and S. Klotz. 2004. BiolFlor - a new plant-trait database as a tool for plant invasion ecology. Diversity and Distribution 10 363-365.		Anmerkung 2002 vgl. Klassifizierungsschema Abb.	
Kühn	Ingolf	4	BiolFlor Database	Erigeron glabratus	21667	Erigeron pulchellus	635861	3077388	204	Flower insemination autogamous or xenogamous	578	Insemination autogamous or xenogamous	BEFRUCHTUNG_LANG_E	facultative autogamous											Kühn, I., W. Durka, and S. Klotz. 2004. BiolFlor - a new plant-trait database as a tool for plant invasion ecology. Diversity and Distribution 10 363-365.			
Kühn	Ingolf	4	BiolFlor Database	Erigeron glabratus	21667	Erigeron pulchellus	635861	3077389			113	Reference / source	Reference	Anmerkung 2002 vgl. Klassifizierungsschema Abb.											Kühn, I., W. Durka, and S. Klotz. 2004. BiolFlor - a new plant-trait database as a tool for plant invasion ecology. Diversity and Distribution 10 363-365.		Anmerkung 2002 vgl. Klassifizierungsschema Abb.	
Kühn	Ingolf	4	BiolFlor Database	Erigeron neglectus	21660	Erigeron neglectus	635862	3077390	204	Flower insemination autogamous or xenogamous	578	Insemination autogamous or xenogamous	BEFRUCHTUNG_LANG_E	facultative autogamous											Kühn, I., W. Durka, and S. Klotz. 2004. BiolFlor - a new plant-trait database as a tool for plant invasion ecology. Diversity and Distribution 10 363-365.			
Kühn	Ingolf	4	BiolFlor Database	Erigeron neglectus	21660	Erigeron neglectus	635862	3077391			113	Reference / source	Reference	Anmerkung 2002 vgl. Klassifizierungsschema Abb.											Kühn, I., W. Durka, and S. Klotz. 2004. BiolFlor - a new plant-trait database as a tool for plant invasion ecology. Diversity and Distribution 10 363-365.		Anmerkung 2002 vgl. Klassifizierungsschema Abb.	
Kühn	Ingolf	4	BiolFlor Database	Erigeron uniflorus	21675	Erigeron uniflorus	635863	3077392	204	Flower insemination autogamous or xenogamous	578	Insemination autogamous or xenogamous	BEFRUCHTUNG_LANG_E	facultative autogamous											Kühn, I., W. Durka, and S. Klotz. 2004. BiolFlor - a new plant-trait database as a tool for plant invasion ecology. Diversity and Distribution 10 363-365.			
Kühn	Ingolf	4	BiolFlor Database	Erigeron uniflorus	21675	Erigeron uniflorus	635863	3077393			113	Reference / source	Reference	Anmerkung 2002 vgl. Klassifizierungsschema Abb.											Kühn, I., W. Durka, and S. Klotz. 2004. BiolFlor - a new plant-trait database as a tool for plant invasion ecology. Diversity and Distribution 10 363-365.		Anmerkung 2002 vgl. Klassifizierungsschema Abb.	
Kühn	Ingolf	4	BiolFlor Database	Eriophorum vaginatum	21816	Eriophorum vaginatum	635864	3077394	204	Flower insemination autogamous or xenogamous	578	Insemination autogamous or xenogamous	BEFRUCHTUNG_LANG_E	facultative autogamous											Kühn, I., W. Durka, and S. Klotz. 2004. BiolFlor - a new plant-trait database as a tool for plant invasion ecology. Diversity and Distribution 10 363-365.			
Kühn	Ingolf	4	BiolFlor Database	Eriophorum vaginatum	21816	Eriophorum vaginatum	635864	3077395			113	Reference / source	Reference	Anmerkung 2002 vgl. Klassifizierungsschema Abb.											Kühn, I., W. Durka, and S. Klotz. 2004. BiolFlor - a new plant-trait database as a tool for plant invasion ecology. Diversity and Distribution 10 363-365.		Anmerkung 2002 vgl. Klassifizierungsschema Abb.	
Kühn	Ingolf	4	BiolFlor Database	Euphorbia peplus	23536	Euphorbia peplus	635865	3077396	204	Flower insemination autogamous or xenogamous	578	Insemination autogamous or xenogamous	BEFRUCHTUNG_LANG_E	facultative autogamous											Kühn, I., W. Durka, and S. Klotz. 2004. BiolFlor - a new plant-trait database as a tool for plant invasion ecology. Diversity and Distribution 10 363-365.			
Kühn	Ingolf	4	BiolFlor Database	Euphorbia peplus	23536	Euphorbia peplus	635865	3077397			113	Reference / source	Reference	Anmerkung 2002 vgl. Klassifizierungsschema Abb.											Kühn, I., W. Durka, and S. Klotz. 2004. BiolFlor - a new plant-trait database as a tool for plant invasion ecology. Diversity and Distribution 10 363-365.		Anmerkung 2002 vgl. Klassifizierungsschema Abb.	
Kühn	Ingolf	4	BiolFlor Database	Euphrasia frigida	23650	Euphrasia frigida	635866	3077398	204	Flower insemination autogamous or xenogamous	578	Insemination autogamous or xenogamous	BEFRUCHTUNG_LANG_E	facultative autogamous											Kühn, I., W. Durka, and S. Klotz. 2004. BiolFlor - a new plant-trait database as a tool for plant invasion ecology. Diversity and Distribution 10 363-365.			
Kühn	Ingolf	4	BiolFlor Database	Euphrasia frigida	23650	Euphrasia frigida	635866	3077399			113	Reference / source	Reference	Yeo, P.F. 1966 The breeding relationships of some European Euphrasiae Watsonia 6:216-?											Kühn, I., W. Durka, and S. Klotz. 2004. BiolFlor - a new plant-trait database as a tool for plant invasion ecology. Diversity and Distribution 10 363-365.		9397	
