exclude,Study,Taxa,Location,Range Type,Traits Tested,Method to detect shift,Response type,Ele or lat,Findings,,,
n,Tingley et al. 2009,bird,"CA, USA",A,"Migratory distance, fecundity, diet breadth, body size, territory type, home range",bird elevation shifts in US,probability of upper limt elevational shift,ele,more likely to shift if non-migratory,migratory distance -,,
,,,,,,,,,,,,
n,Angert et al. 2011,mammal,"CA, USA",A,"Fecundity, lifespan, diet breadth, body size, hibernation behavior, daily rhythm, range size, historic limit",pre-existing datasets,magnitude of boundary displacement,ele,no real strong effect of any trait,body size 0,,
n,Angert et al. 2011,plant,Switzerland,A,"Fecundity, lifespan, diet breadth, body size, hibernation behavior, daily rhythm, range size, historic limit",pre-existing datasets,rate of boundary displacement,ele,longer seed dispersal period had faster shift,"dispersal duration +
seed mass 0
body size 0",,
n,Felde et al. 2012,plant,Norway,A,"Dispersal mode, cryophily, snow affinity, growth form, Ellenberg indicators",plant elevation shifts in Norway,magnitude of range margin shift,ele,upper limit shift not related to traits,"life form 0
dispersal syndrome 0", ,
n,Parolo and Rossi 2007,plant,Italy,A,"Dispersal mode, disaspore mass",alps study,,ele,more prounounced shifts in species with less seed mass ,seed mass -, ,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
n,Comte et al. 2014,fish,France,A,"Fecundity, diet niche, mobility, habitat breadth, thermophily, range size",freshwater fish in france,rate of range margin shift,ele,weaky related to larval and adult body size,body size 0,,
y,Zuckerberg et al. 2009,bird,"NY, USA","L, A","Migratory distance, diet guild, habitat niche",,shifts in centre of occurrence,lat,no relationship,migratory status 0,,bird latitude: only 1 study with expected relationship
y,Zuckerberg et al. 2009,bird,"NY, USA","L, A","Migratory distance, diet guild, habitat niche",,mean shift in centre of occurrence,ele,resident birds shifted to higher elevations,migratory status *,,
y,McDonald et al. 2012,bird,USA,L,Migratory distance,testing diversity shifts ,,,,,,
y,Mattila et al. 2011,butterfly,Finland,L,"Length of flight period, diet breadth, body size, flight behavior, habitat breadth, overwintering stage",testing whether species with certain triats more often shifted in average direction,,,,,,
y,Yemane et al. 2014,fish,Atlantic (Africa),"L, A","Body size, harvest status",whether species that show shift or not have certain body size,shift versus not,lat," There was no significant difference in mean maximum length between species that showed a shift and those that didnÕt shift in either of the four indices, mean latitude and mean depth, depth range and latitudinal range",body size 0,,
y,Grenouillet and Comte 2014,fish,France,L,"Lifespan, dispersal, thermophily, range size, historic limit",not directly testing dispersal effect on range expansion - excluded ,,,,,,
y,McCain and King 2014,mammal,North America,"L, A","Body size, hibernation behavior, daily rhythm, heterothermy, burrowing behavior, nesting behavior",testing whether traits explain whether species responded as expected or not ,,,,,,
y,Przeslawski et al. 2012,marine,Global,L,"Mobility, dispersal potential, habitat niche, diet guild",meta analysis but didn't distinguish between expansion and contraction,,,not significantly related,"dispersal ability 0
mobility 0",,
y,Moritz et al. 2008,bird,"CA, USA",A,"Diet guild, body size, fecundity, lifespan, hibernation behavior, daily rhythm",predicted which species shifted up,,ele,,,,
y,Grytnes et al. 2014,plant,Europe,A,"Thermophily, snow preference, dispersal mode, Ellenberg indicators",not testing dispersal ina traditional way - measuring traits of the proportion of species new to summit ,proportion of species new to summit,ele,only endochory (seeds dispersed by passing through the guts of animals) showed a statistically significant trend. But few data were endochory so not really a reliable result,dispersal mode *,,
y,Wolf et al. 2016,plant,"CA, USA",A,"Seed size, growth form",mean position along elevational gradient,mean shift rate across species ,ele,small seed plants had greater propensity to shift upward,seed size -,,
y,Crimmins et al. 2011,plant,USA,A,"Growth form, dispersal mode, physiognomy, fire adaptation",downward shift in optimum elevation of plants - excluded,,,,,,
y,Holzinger et al.,plant,Switzerland,A,"Dispersal mode, dispersal month, diaspore length",measure range shift as species richness change - exclude,,,,,,
,,,,,,,,,,,,
n,Alofs et al. 2014,fish,"Ontario, Canada",L,"Fecundity, lifespan, diet breadth, body size, habitat niche, habitat breadth, harvest status, range size, historic limit",historical surveys,shift of northern range boundary,lat,larger fish shifted farther north,body size +,,
n,Perry et al. 2005,fish,North Sea,L,"Age at maturity, body size, growth rate",,shifting versus non-shifting,lat,,body size -,,
n,Sunday et al. 2015,fish,Australia,L,"Diet breadth, body size, range size",,polward boundary shifts,lat,,"mobility +
body size 0",,
