"ID","mean_cv_studylevel","sd_cv_studylevel","Article_ID","Study_ID","ID_BioShifts","ID_CoRE","Article","DOI","LatCentDeg","LonCentDeg","Areakm2","LatExtentk","EleExtentm","Eleminm","Elemaxm","Elemeanm","Study_area","Subsp_or_Pop","Eco","Type","Param","sp_name_publication","sp_name_database","sp_name_checked","kingdom","phylum","class","family","taxonID","taxon_method","Trend","unit","Significance","Magnitude","Angle","FigTable","START_firstperiod","MIDPOINT_firstperiod","END_firstperiod","START_secondperiod","MIDPOINT_secondperiod","END_secondperiod","Duration","Direction","Rate","UnitRate","Grain_size","N_periodes","Sampling","Category","Obs_type","Uncertainty_distribution","Position_definition","Position_definition_category","scientificName_checked","scientificName","cv_res","species_studyid","cv_type","mean_cv_sppspecific","sd_cv_sppspecific","order","ObservationTypeSpecific","DispersalSource","Field","DispersalDistance","Code","DispersalUnit","Database","Sex","group","type","ObservationTypeGeneral","MaxDispersalDistanceKm","MedianDispersalDistanceKm","NObs_MedianDispersalDistanceKm","AgeAtMaturityDays","YearOfMaturity","DispersalPotentialKmY","MedianDispersalPotentialKmY","ShiftKmY","ClimVeloTKmY_study","ClimVeloTKmY_spp","LimitingRate","what_is_limiting","colour","range_source","Area_m2_ID","Area_m2_range","Area_km2_range","BodySize"
"A108_P1",1.32419735737718,1.16970640351754,"A108","P1",108,NA,"Batford_2010_Thesis","n/a",40.29223,-82.79116,107051.36,398.85,1344.88,86.65,1431.52,325.12,"Ohio, USA",NA,"Ter","LAT","LE","Circus_cyaneus","Circus_cyaneus","Circus_cyaneus","Animalia","Chordata","Aves","Accipitridae","GBIF:2480487","Find_Sci_Names","7.41","km","U",NA,NA,"Table 2.2, pg 47-111",1982,1984.5,1987,2006,2008.5,2011,25,"Expansion",0.2964,"km/year","moderate",2,"TWO","CensusPeriods","occurrence","RESAMPLING(same)","Mean latitude of 10 most northerly blocks","Mean of extremes","Circus cyaneus","Circus cyaneus","25km","Circus cyaneus_A108_P1","mat_gVelLat_25km",1.3181151027409,1.07645447223557,"Accipitriformes","individual movement distance",NA,"Max._Indiv._Dispersal_Distance_(m)",60800,"MaxDispersalDistance","m","Jenkins et al. 2007",NA,"Aves","Max","natal/breeding dispersal",60.8,22,3,365,1,60.8,22,0.2964,1.32419735737718,1.3181151027409,1.3181151027409,"Climate",1.3181151027409,"GBIF occurrence",250486837832.008,53414379907118.7,53414379.9071187,77.05
"A108_P1",1.32419735737718,1.16970640351754,"A108","P1",108,NA,"Batford_2010_Thesis","n/a",40.29223,-82.79116,107051.36,398.85,1344.88,86.65,1431.52,325.12,"Ohio, USA",NA,"Ter","LAT","LE","Passerculus_sandwichensis","Passerculus_sandwichensis","Passerculus_sandwichensis","Animalia","Chordata","Aves","Passerellidae","GBIF:5231142","Find_Sci_Names","3.59","km","U",NA,NA,"Table 2.2, pg 47-122",1982,1984.5,1987,2006,2008.5,2011,25,"Expansion",0.1436,"km/year","moderate",2,"TWO","CensusPeriods","occurrence","RESAMPLING(same)","Mean latitude of 10 most northerly blocks","Mean of extremes","Passerculus sandwichensis","Passerculus sandwichensis","25km","Passerculus sandwichensis_A108_P1","mat_gVelLat_25km",1.3181151027409,1.07645447223557,"Passeriformes","individual movement distance",NA,"Max._Indiv._Dispersal_Distance_(m)",1600,"MaxDispersalDistance","m","Jenkins et al. 2007",NA,"Aves","Max","natal/breeding dispersal",1.6,1.4,3,363.468,1,1.6,1.4,0.1436,1.32419735737718,1.3181151027409,1.3181151027409,"Climate",1.3181151027409,"BOTW",250486837832.008,19177799557334.7,19177799.5573347,20.7
"A108_P1",1.32419735737718,1.16970640351754,"A108","P1",108,NA,"Batford_2010_Thesis","n/a",40.29223,-82.79116,107051.36,398.85,1344.88,86.65,1431.52,325.12,"Ohio, USA",NA,"Ter","LAT","LE","Riparia_riparia","Riparia_riparia","Riparia_riparia","Animalia","Chordata","Aves","Hirundinidae","GBIF:2489160","Find_Sci_Names","12.97","km","U",NA,NA,"Table 2.2, pg 47-127",1982,1984.5,1987,2006,2008.5,2011,25,"Expansion",0.5188,"km/year","moderate",2,"TWO","CensusPeriods","occurrence","RESAMPLING(same)","Mean latitude of 10 most northerly blocks","Mean of extremes","Riparia riparia","Riparia riparia","25km","Riparia riparia_A108_P1","mat_gVelLat_25km",1.3181151027409,1.07645447223557,"Passeriformes","natal dispersal","Mead (1979)","Natal_dispersal_maximum_distance_(km)",144,"MaxDispersalDistance","km","Sutherland (birds)","m/f","Aves","Max","natal dispersal",144,7.7,7,365,1,144,7.7,0.5188,1.32419735737718,1.3181151027409,1.3181151027409,"Climate",1.3181151027409,"IUCN",250486837832.008,71794268457260,71794268.45726,10.5
"A10_P1",1.23479939306051,1.59907827078577,"A10","P1",10,73,"LaSorte_Thompson_2007_Ecology","10.1890/06-1072.1",39.52959,-99.12988,7933705.8,2740.96,5044.43,0,5044.43,752.03,"North America (US, CN, northern MX)",NA,"Ter","LAT","LE","Accipiter_cooperii","Accipiter_cooperii","Accipiter_cooperii","Animalia","Chordata","Aves","Accipitridae","GBIF:2480621","Find_Sci_Names","13.78","km/year","U",NA,NA,"Table A1",1975,1975,1975,2004,2004,2004,30,"Expansion",13.78,"km/year","large",10,"MULTIPLE(continuous)","TimeSeries","occurrence","RAW","Maximum latitude of the 12 km radius survey circle where the species was documented","Furthest occurrence","Accipiter cooperii","Accipiter cooperii","25km","Accipiter cooperii_A10_P1","mat_gVelLat_25km",1.19368219561068,1.50193901316987,"Accipitriformes","arithmetic mean natal dispersal distance","Chu 2021","arimean",57.71831312,"MeanDispersalDistance","km","Chu 2021",NA,"Aves","Mean","natal dispersal",57.71831312,35.2,5,730,2,28.85915656,17.6,13.78,1.23479939306051,1.19368219561068,1.19368219561068,"Climate",1.19368219561068,"BOTW",7933705804790.3,10487652985190.8,10487652.9851908,62
"A10_P1",1.23479939306051,1.59907827078577,"A10","P1",10,73,"LaSorte_Thompson_2007_Ecology","10.1890/06-1072.1",39.52959,-99.12988,7933705.8,2740.96,5044.43,0,5044.43,752.03,"North America (US, CN, northern MX)",NA,"Ter","LAT","LE","Actitis_macularius","Actitis_macularius","Actitis_macularius","Animalia","Chordata","Aves","Scolopacidae","GBIF:2481798","Find_Sci_Names","1.92","km/year","U",NA,NA,"Table A1",1975,1975,1975,2004,2004,2004,30,"Expansion",1.92,"km/year","large",10,"MULTIPLE(continuous)","TimeSeries","occurrence","RAW","Maximum latitude of the 12 km radius survey circle where the species was documented","Furthest occurrence","Actitis macularius","Actitis macularius","25km","Actitis macularius_A10_P1","mat_gVelLat_25km",1.19587110036147,1.49965273049812,"Charadriiformes","individual movement distance",NA,"Max._Indiv._Dispersal_Distance_(m)",147000,"MaxDispersalDistance","m","Jenkins et al. 2007",NA,"Aves","Max","natal/breeding dispersal",147,146.85,2,365,1,147,146.85,1.92,1.23479939306051,1.19587110036147,1.19587110036147,"Climate",1.19587110036147,"IUCN",7933705804790.3,34170167863421.1,34170167.8634211,24.2
"A10_P1",1.23479939306051,1.59907827078577,"A10","P1",10,73,"LaSorte_Thompson_2007_Ecology","10.1890/06-1072.1",39.52959,-99.12988,7933705.8,2740.96,5044.43,0,5044.43,752.03,"North America (US, CN, northern MX)",NA,"Ter","LAT","LE","Aix_sponsa","Aix_sponsa","Aix_sponsa","Animalia","Chordata","Aves","Anatidae","GBIF:2498387","Find_Sci_Names","7.02","km/year","U",NA,NA,"Table A1",1975,1975,1975,2004,2004,2004,30,"Expansion",7.02,"km/year","large",10,"MULTIPLE(continuous)","TimeSeries","occurrence","RAW","Maximum latitude of the 12 km radius survey circle where the species was documented","Furthest occurrence","Aix sponsa","Aix sponsa","25km","Aix sponsa_A10_P1","mat_gVelLat_25km",1.4015497984023,1.53642423036972,"Anseriformes","arithmetic mean natal dispersal distance","Chu 2021","arimean",9.102877271,"MeanDispersalDistance","km","Chu 2021",NA,"Aves","Mean","natal dispersal",9.102877271,4.089744502,4,365,1,9.102877271,4.089744502,7.02,1.23479939306051,1.4015497984023,1.4015497984023,"Climate",1.4015497984023,"IUCN",7933705804790.3,7693830381906.64,7693830.38190664,32.9
"A10_P1",1.23479939306051,1.59907827078577,"A10","P1",10,73,"LaSorte_Thompson_2007_Ecology","10.1890/06-1072.1",39.52959,-99.12988,7933705.8,2740.96,5044.43,0,5044.43,752.03,"North America (US, CN, northern MX)",NA,"Ter","LAT","LE","Anas_acuta","Anas_acuta","Anas_acuta","Animalia","Chordata","Aves","Anatidae","GBIF:2498112","Find_Sci_Names","3.92","km/year","U",NA,NA,"Table A1",1975,1975,1975,2004,2004,2004,30,"Expansion",3.92,"km/year","large",10,"MULTIPLE(continuous)","TimeSeries","occurrence","RAW","Maximum latitude of the 12 km radius survey circle where the species was documented","Furthest occurrence","Anas acuta","Anas acuta","25km","Anas acuta_A10_P1","mat_gVelLat_25km",1.33860371934535,1.51272794717107,"Anseriformes","geometric/arithmetic mean natal dispersal distance","Chu 2021","geom/arimean",2.541645117,"SingleObservation","km","Chu 2021",NA,"Aves","Unknown","natal dispersal",2.541645117,2.541645117,2,240,1,2.541645117,2.541645117,3.92,1.23479939306051,1.33860371934535,1.33860371934535,"Climate",1.33860371934535,"IUCN",7933705804790.3,52934892389343,52934892.389343,36.9
"A10_P1",1.23479939306051,1.59907827078577,"A10","P1",10,73,"LaSorte_Thompson_2007_Ecology","10.1890/06-1072.1",39.52959,-99.12988,7933705.8,2740.96,5044.43,0,5044.43,752.03,"North America (US, CN, northern MX)",NA,"Ter","LAT","LE","Anas_platyrhynchos","Anas_platyrhynchos","Anas_platyrhynchos","Animalia","Chordata","Aves","Anatidae","GBIF:9761484","Find_Sci_Names","-0.14","km/year","U",NA,NA,"Table A1",1975,1975,1975,2004,2004,2004,30,"Contraction",-0.14,"km/year","large",10,"MULTIPLE(continuous)","TimeSeries","occurrence","RAW","Maximum latitude of the 12 km radius survey circle where the species was documented","Furthest occurrence","Anas platyrhynchos","Anas platyrhynchos","25km","Anas platyrhynchos_A10_P1","mat_gVelLat_25km",1.19598066745187,1.50028142355072,"Anseriformes","arithmetic mean natal dispersal distance","Chu 2021","arimean",270.5094065,"MeanDispersalDistance","km","Chu 2021",NA,"Aves","Mean","natal dispersal",270.5094065,19.9,7,365,1,270.5094065,19.9,-0.14,1.23479939306051,1.19598066745187,1.19598066745187,"Climate",1.19598066745187,"IUCN",7933705804790.3,48513431370525.4,48513431.3705254,40.6
"A10_P1",1.23479939306051,1.59907827078577,"A10","P1",10,73,"LaSorte_Thompson_2007_Ecology","10.1890/06-1072.1",39.52959,-99.12988,7933705.8,2740.96,5044.43,0,5044.43,752.03,"North America (US, CN, northern MX)",NA,"Ter","LAT","LE","Ardea_alba","Ardea_alba","Ardea_alba","Animalia","Chordata","Aves","Ardeidae","GBIF:9752617","Find_Sci_Names","5.22","km/year","U",NA,NA,"Table A1",1975,1975,1975,2004,2004,2004,30,"Expansion",5.22,"km/year","large",10,"MULTIPLE(continuous)","TimeSeries","occurrence","RAW","Maximum latitude of the 12 km radius survey circle where the species was documented","Furthest occurrence","Ardea alba","Ardea alba","25km","Ardea alba_A10_P1","mat_gVelLat_25km",1.40550375871107,1.50950046019993,"Pelecaniformes","arithmetic mean natal dispersal distance","Chu 2021","arimean",313.9587074,"MeanDispersalDistance","km","Chu 2021",NA,"Aves","Mean","natal dispersal",313.9587074,215.6583747,2,637.601,2,156.9793537,107.82918735,5.22,1.23479939306051,1.40550375871107,1.40550375871107,"Climate",1.40550375871107,"IUCN",7933705804790.3,80817524708248.2,80817524.7082482,141.6
"A10_P1",1.23479939306051,1.59907827078577,"A10","P1",10,73,"LaSorte_Thompson_2007_Ecology","10.1890/06-1072.1",39.52959,-99.12988,7933705.8,2740.96,5044.43,0,5044.43,752.03,"North America (US, CN, northern MX)",NA,"Ter","LAT","LE","Asio_otus","Asio_otus","Asio_otus","Animalia","Chordata","Aves","Strigidae","GBIF:2497306","Find_Sci_Names","14.05","km/year","U",NA,NA,"Table A1",1975,1975,1975,2004,2004,2004,30,"Expansion",14.05,"km/year","large",10,"MULTIPLE(continuous)","TimeSeries","occurrence","RAW","Maximum latitude of the 12 km radius survey circle where the species was documented","Furthest occurrence","Asio otus","Asio otus","25km","Asio otus_A10_P1","mat_gVelLat_25km",1.22839714639405,1.53687186304318,"Strigiformes","individual movement distance",NA,"Max._Indiv._Dispersal_Distance_(m)",162000,"MaxDispersalDistance","m","Jenkins et al. 2007",NA,"Aves","Max","natal/breeding dispersal",162,15.421,5,364.234,1,162,15.421,14.05,1.23479939306051,1.22839714639405,1.22839714639405,"Climate",1.22839714639405,"BOTW",7933705804790.3,35423274659006.5,35423274.6590065,40.1
"A10_P1",1.23479939306051,1.59907827078577,"A10","P1",10,73,"LaSorte_Thompson_2007_Ecology","10.1890/06-1072.1",39.52959,-99.12988,7933705.8,2740.96,5044.43,0,5044.43,752.03,"North America (US, CN, northern MX)",NA,"Ter","LAT","LE","Athene_cunicularia","Athene_cunicularia","Athene_cunicularia","Animalia","Chordata","Aves","Strigidae","GBIF:2497240","Find_Sci_Names","13.54","km/year","U",NA,NA,"Table A1",1975,1975,1975,2004,2004,2004,30,"Expansion",13.54,"km/year","large",10,"MULTIPLE(continuous)","TimeSeries","occurrence","RAW","Maximum latitude of the 12 km radius survey circle where the species was documented","Furthest occurrence","Athene cunicularia","Athene cunicularia","25km","Athene cunicularia_A10_P1","mat_gVelLat_25km",0.731285643856206,1.25964008516269,"Strigiformes","arithmetic mean natal dispersal distance","Chu 2021","arimean",109.6209029,"MeanDispersalDistance","km","Chu 2021",NA,"Aves","Mean","natal dispersal",109.6209029,30,4,365,1,109.6209029,30,13.54,1.23479939306051,0.731285643856206,0.731285643856206,"Climate",0.731285643856206,"BOTW",7933705804790.3,15156308383786.2,15156308.3837862,43.4
"A10_P1",1.23479939306051,1.59907827078577,"A10","P1",10,73,"LaSorte_Thompson_2007_Ecology","10.1890/06-1072.1",39.52959,-99.12988,7933705.8,2740.96,5044.43,0,5044.43,752.03,"North America (US, CN, northern MX)",NA,"Ter","LAT","LE","Aythya_affinis","Aythya_affinis","Aythya_affinis","Animalia","Chordata","Aves","Anatidae","GBIF:2498257","Find_Sci_Names","0.97","km/year","U",NA,NA,"Table A1",1975,1975,1975,2004,2004,2004,30,"Expansion",0.97,"km/year","large",10,"MULTIPLE(continuous)","TimeSeries","occurrence","RAW","Maximum latitude of the 12 km radius survey circle where the species was documented","Furthest occurrence","Aythya affinis","Aythya affinis","25km","Aythya affinis_A10_P1","mat_gVelLat_25km",1.22314952594791,1.5146409304281,"Anseriformes","geometric/arithmetic mean natal dispersal distance","Chu 2021","geom/arimean",0.697859425,"SingleObservation","km","Chu 2021",NA,"Aves","Unknown","natal dispersal",0.697859425,0.697859425,2,365,1,0.697859425,0.697859425,0.97,1.23479939306051,1.22314952594791,0.697859425,"Dispersal",NA,"IUCN",7933705804790.3,16453052439698.9,16453052.4396989,34.9
